epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8637076616287231,1.8368,22.2,0.788,0.061,1.841,21.65,0.794,0.054
1,1.0014296658337116,604.8406,9.93,0.488,0.024,606.5125,9.81,0.488,0.022
2,0.7349817976355553,121.151,11.3,0.531,0.051,117.7276,11.29,0.525,0.051
3,0.6116872616112232,121.5397,10.42,0.542,0.038,119.5823,10.44,0.531,0.035
4,0.7461609393358231,77.7265,23.56,0.57,0.122,78.8149,23.05,0.553,0.118
5,0.4227759325876832,6.7654,43.33,0.848,0.398,7.054,43.15,0.844,0.401
6,0.31902462895959616,7.1124,28.82,0.82,0.228,7.0724,30.61,0.815,0.249
7,0.27249282225966454,3.3916,61.54,0.871,0.381,3.4489,61.21,0.867,0.384
8,0.21480879560112953,2.6777,53.65,0.903,0.403,2.7098,52.8,0.9,0.402
9,0.15255946852266788,3.2572,59.88,0.935,0.487,3.3044,58.88,0.932,0.475
10,0.13644791906699538,0.5196,85.88,0.985,0.834,0.6611,82.79,0.979,0.808
11,0.10216169897466898,0.396,86.76,0.988,0.836,0.3644,88.94,0.989,0.857
12,0.10207693767733872,0.2024,93.87,0.998,0.917,0.2149,93.07,0.997,0.906
13,0.0853989424649626,3.5818,39.34,0.887,0.41,3.5576,38.16,0.884,0.4
14,0.08592198230326176,0.751,76.14,0.975,0.711,0.721,77.96,0.977,0.72
15,0.07268453575670719,0.1541,94.94,0.998,0.94,0.165,94.55,0.997,0.936
16,0.0762776096817106,0.2113,92.41,0.997,0.923,0.2276,92.99,0.997,0.928
17,0.07149123912677169,0.1215,96.11,0.999,0.943,0.1115,96.57,0.998,0.952
18,0.060184381320141256,0.4116,86.66,0.996,0.866,0.382,87.69,0.995,0.872
19,0.05585795175284147,1.2615,76.24,0.989,0.789,1.2189,77.8,0.988,0.804
20,0.05441143014468253,1.8214,65.92,0.965,0.643,1.8512,66.36,0.966,0.645
21,0.05820588383357972,0.0802,97.47,0.999,0.967,0.1028,97.51,0.999,0.968
22,0.046926375827752054,0.3396,89.58,0.996,0.901,0.3704,88.4,0.994,0.889
23,0.0428181387251243,1.4506,67.58,0.968,0.672,1.4576,66.67,0.965,0.663
24,0.04198923031799495,0.2395,91.24,0.999,0.93,0.2486,90.89,0.998,0.922
25,0.03425308072473854,0.3661,86.85,0.993,0.872,0.4243,85.83,0.992,0.861
26,0.03657377773197368,0.0705,97.47,1.0,0.971,0.097,97.35,0.999,0.967
27,0.03339712542947382,0.1184,96.4,0.999,0.959,0.1181,96.18,0.999,0.957
28,0.032292612217133865,0.753,82.08,0.996,0.858,0.7544,82.79,0.995,0.861
29,0.029628030955791473,0.0672,98.05,0.999,0.974,0.0746,97.82,0.999,0.97
30,0.022123065253254026,0.0564,98.05,1.0,0.975,0.0911,97.82,0.999,0.973
31,0.021322204935131595,0.0662,98.05,1.0,0.979,0.0948,97.59,0.999,0.97
32,0.018327880941797048,0.0757,97.96,0.999,0.971,0.0851,97.82,0.999,0.971
33,0.02062307231244631,0.0433,98.34,1.0,0.981,0.0747,97.9,0.999,0.972
34,0.02012324772658758,0.0759,97.08,1.0,0.966,0.0919,97.51,0.999,0.968
35,0.0185437980981078,0.0707,97.96,0.999,0.97,0.0962,97.9,0.999,0.971
36,0.018512709386413917,0.0498,98.34,1.0,0.98,0.0633,98.36,0.999,0.977
37,0.018564282334409654,0.0401,98.54,1.0,0.984,0.0761,98.29,0.999,0.978
38,0.017935426614712924,0.0502,98.83,1.0,0.983,0.0774,98.6,0.999,0.981
39,0.015338618744863197,0.0533,98.25,1.0,0.979,0.0665,98.6,0.999,0.981
40,0.011905936145922169,0.0416,98.64,1.0,0.982,0.0707,98.52,0.999,0.98
41,0.012098000035621226,0.0435,98.83,1.0,0.987,0.0667,98.75,0.999,0.983
42,0.011258816026384011,0.0459,98.83,1.0,0.987,0.0647,98.75,0.999,0.983
43,0.012793838483048603,0.0393,98.93,1.0,0.988,0.062,98.68,0.999,0.981
44,0.012832670792704448,0.0346,99.03,1.0,0.989,0.0669,98.52,0.999,0.979
45,0.012544901517685503,0.0347,99.12,1.0,0.989,0.0635,98.68,0.999,0.981
46,0.01388852868694812,0.035,99.22,1.0,0.991,0.0628,98.68,0.999,0.981
47,0.010814961657160893,0.036,99.03,1.0,0.989,0.0627,98.75,0.999,0.983
48,0.014213455375283957,0.0365,99.12,1.0,0.99,0.0636,98.68,0.999,0.981
49,0.011710811784723774,0.0356,99.22,1.0,0.991,0.0635,98.68,0.999,0.981
