epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,2.008082866668701,1.9946,20.84,0.54,0.043,1.9947,20.79,0.541,0.043
1,1.8143898695707321,50.579,19.18,0.464,0.04,50.6321,19.16,0.481,0.04
2,2.998689651489258,29319.9754,19.18,0.5,0.04,29350.7467,19.16,0.5,0.04
3,1.9575800001621246,10703.4649,19.18,0.5,0.04,10707.0823,19.16,0.5,0.04
4,1.1314867734909058,1666.3267,19.18,0.5,0.04,1666.5842,19.16,0.5,0.04
5,0.8701686374843121,67.8021,13.15,0.5,0.029,67.6881,13.16,0.496,0.029
6,0.7145613394677639,3.6592,37.78,0.662,0.254,3.592,36.14,0.658,0.247
7,0.6026901490986347,339.2784,13.15,0.5,0.029,339.0119,13.16,0.5,0.029
8,0.45792744494974613,9.1535,24.25,0.713,0.183,9.2153,24.3,0.716,0.183
9,0.4521667044609785,23.8038,19.18,0.628,0.04,24.0721,19.16,0.624,0.04
10,0.35253434628248215,25.0119,13.24,0.593,0.032,25.2369,13.16,0.597,0.029
11,0.27796680945903063,378.7955,13.15,0.5,0.029,378.2655,13.16,0.5,0.029
12,0.25908319000154734,52.617,19.18,0.561,0.04,52.7307,19.16,0.555,0.04
13,0.21552760433405638,131.7775,13.15,0.498,0.029,132.2398,13.16,0.497,0.029
14,0.236754703335464,54.5747,22.78,0.538,0.097,54.4947,23.05,0.54,0.096
15,0.17863431246951222,27.3091,26.97,0.675,0.107,27.6111,26.17,0.672,0.102
16,0.1418220540508628,8.9004,22.88,0.578,0.133,8.9013,24.3,0.575,0.141
17,0.1331078172661364,57.9578,19.18,0.513,0.04,57.8074,19.16,0.511,0.04
18,0.1330540543422103,270.0917,13.63,0.544,0.035,269.7033,13.47,0.542,0.033
19,0.12638514768332243,65.8286,19.18,0.476,0.04,65.7876,19.16,0.474,0.04
20,0.11104517104104161,17.9551,16.75,0.606,0.049,17.7648,16.98,0.606,0.052
21,0.10264766192995012,23.6494,19.28,0.634,0.042,23.7,19.24,0.635,0.042
22,0.10435835598036647,174.8891,13.15,0.5,0.029,174.9824,13.16,0.5,0.029
23,0.08505627675913274,11.9755,32.62,0.599,0.16,11.9393,32.63,0.594,0.163
24,0.08776614395901561,7.3555,45.57,0.699,0.268,7.1623,45.79,0.713,0.273
25,0.07128052436746657,46.8277,19.18,0.579,0.04,46.6915,19.16,0.575,0.04
26,0.07540011266246438,126.7802,19.18,0.484,0.04,127.0041,19.16,0.483,0.04
27,0.08151210309006274,17.5051,26.19,0.731,0.129,18.0275,26.17,0.719,0.129
28,0.06994589860551059,25.0556,18.4,0.648,0.135,24.5696,18.3,0.643,0.134
29,0.06301062984857708,116.3311,19.18,0.434,0.04,116.3761,19.16,0.438,0.04
30,0.06239442457444966,177.8112,19.18,0.468,0.04,178.28,19.16,0.468,0.04
31,0.05324906995519996,63.7067,13.15,0.53,0.029,63.5748,13.16,0.531,0.029
32,0.049240171327255666,125.3362,28.63,0.583,0.11,125.4124,27.34,0.587,0.105
33,0.04784582427237183,93.3324,19.18,0.415,0.04,93.2486,19.16,0.419,0.04
34,0.03729322657454759,61.7362,22.78,0.626,0.089,61.9925,23.13,0.632,0.091
35,0.029741079692030326,81.5989,19.18,0.509,0.04,81.834,19.16,0.505,0.04
36,0.03483654512092471,41.7305,17.62,0.672,0.08,41.3567,17.6,0.684,0.08
37,0.031137150072026998,28.2655,13.15,0.559,0.029,28.1921,13.16,0.559,0.029
38,0.026882907724939287,69.5877,19.18,0.571,0.04,69.4366,19.16,0.566,0.04
39,0.021802965842653066,22.925,15.97,0.715,0.118,22.9464,15.11,0.714,0.097
40,0.025357676873682067,13.7663,26.19,0.765,0.14,14.0756,26.56,0.749,0.141
41,0.014763800223590806,14.7137,21.13,0.755,0.113,14.9475,21.34,0.756,0.115
42,0.017744779819622636,18.6924,29.31,0.779,0.152,18.6217,29.52,0.779,0.153
43,0.015905320877209306,35.4453,31.55,0.746,0.135,36.0027,31.15,0.739,0.136
44,0.02010561540373601,39.7589,19.28,0.689,0.059,39.5879,19.08,0.687,0.058
45,0.01989934773882851,24.486,17.92,0.698,0.077,24.3721,17.6,0.696,0.075
46,0.015177892899373546,33.3976,19.18,0.659,0.041,33.5218,19.08,0.654,0.04
47,0.012667354691075161,25.774,18.11,0.721,0.073,25.5856,18.07,0.724,0.072
48,0.012112303549656644,24.7374,33.11,0.782,0.132,24.6872,33.33,0.779,0.133
49,0.011424027936300263,17.938,14.41,0.584,0.043,17.3963,14.1,0.588,0.041
50,0.009450469369767234,7.0142,34.27,0.855,0.298,7.3409,31.54,0.849,0.255
51,0.008103324886178598,0.5621,85.59,0.992,0.822,0.5551,86.14,0.992,0.828
52,0.007577758806291968,12.0525,43.91,0.774,0.323,11.7919,43.77,0.776,0.312
53,0.008342163782799616,15.4908,29.89,0.769,0.184,15.9583,30.69,0.765,0.192
54,0.009561725950334221,6.441,50.93,0.902,0.382,6.5021,49.53,0.902,0.367
55,0.007998558459803462,3.5419,68.45,0.933,0.595,3.4179,68.07,0.938,0.585
56,0.00802295288303867,2.1438,60.95,0.927,0.543,1.8938,64.49,0.934,0.577
57,0.009466552146477625,0.633,85.59,0.987,0.81,0.5564,85.44,0.985,0.799
58,0.0075157544342800975,14.7614,19.47,0.751,0.11,14.5161,19.55,0.756,0.113
59,0.008905747527023777,1.3876,79.45,0.98,0.714,1.4586,79.75,0.979,0.716
60,0.005701411660993472,1.4275,82.28,0.982,0.728,1.3989,80.76,0.982,0.709
61,0.006552836304763332,0.2617,93.96,0.995,0.912,0.2855,93.61,0.995,0.908
62,0.005705795221729204,0.0443,98.34,1.0,0.975,0.062,98.13,1.0,0.973
63,0.006784356955904514,0.1836,94.64,0.998,0.924,0.2,94.94,0.997,0.924
64,0.00709535795613192,0.1389,96.11,0.999,0.948,0.165,95.64,0.999,0.945
65,0.005405337491538376,0.0646,97.18,1.0,0.96,0.078,97.82,1.0,0.97
66,0.005808522430015728,0.0535,98.64,1.0,0.981,0.0554,98.21,1.0,0.973
67,0.005596754577709362,0.0524,98.64,1.0,0.982,0.0494,98.6,1.0,0.979
68,0.00670385843841359,0.0483,98.54,1.0,0.98,0.049,98.6,1.0,0.98
69,0.005424458853667602,0.0496,98.54,1.0,0.98,0.0498,98.52,1.0,0.979
