epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.7104435339570045,1.5571,42.65,0.863,0.256,1.5672,41.9,0.853,0.249
1,1.1511959061026573,123.9505,30.48,0.658,0.189,121.2966,30.3,0.656,0.187
2,0.631924707442522,45.7793,18.89,0.749,0.137,44.6733,18.85,0.75,0.136
3,0.5629514325410128,16.5177,48.3,0.816,0.422,16.4446,46.34,0.809,0.418
4,0.35252985171973705,1.0165,76.34,0.972,0.724,1.0111,76.17,0.967,0.707
5,0.3163756839931011,1.1866,82.08,0.959,0.768,1.5575,78.66,0.947,0.716
6,0.3363353777676821,0.5754,87.83,0.984,0.85,0.5885,85.9,0.979,0.819
7,0.23993350006639957,0.7203,77.51,0.97,0.752,0.73,76.09,0.968,0.732
8,0.22530098259449005,0.5707,81.79,0.978,0.768,0.572,82.63,0.976,0.779
9,0.20965432561933994,1.0327,68.35,0.95,0.653,1.0247,68.85,0.946,0.648
10,0.1911257249303162,0.191,93.87,0.994,0.914,0.2251,92.91,0.991,0.897
11,0.168795645236969,0.2699,92.79,0.993,0.905,0.2886,91.51,0.992,0.885
12,0.15073259500786662,0.1561,94.06,0.998,0.924,0.1735,94.08,0.995,0.916
13,0.1349533125758171,0.2729,94.94,0.996,0.929,0.3353,92.52,0.993,0.887
14,0.135817835573107,0.1067,96.2,0.999,0.95,0.1314,95.64,0.997,0.94
15,0.13099507940933108,1.8608,72.44,0.971,0.737,1.7866,72.04,0.97,0.731
16,0.13420211616903543,0.206,92.6,0.997,0.914,0.2005,93.54,0.997,0.92
17,0.1172489773016423,0.6929,88.61,0.985,0.858,0.8651,88.47,0.979,0.86
18,0.11610523099079728,0.6637,76.24,0.993,0.76,0.6853,76.4,0.99,0.764
19,0.0933665418997407,0.1091,96.49,0.998,0.951,0.1068,95.64,0.998,0.937
20,0.08153245295397937,0.1121,97.27,0.999,0.961,0.1211,95.79,0.998,0.941
21,0.08027760544791818,0.0773,97.27,0.999,0.958,0.1004,96.5,0.998,0.946
22,0.08889803034253418,0.2127,96.3,0.997,0.958,0.2531,95.02,0.996,0.945
23,0.07828637328930199,0.0634,97.66,0.999,0.967,0.0669,97.74,0.999,0.965
24,0.0776126841083169,0.1073,96.49,0.999,0.954,0.1084,97.2,0.998,0.963
25,0.06491906894370914,0.1356,94.84,0.998,0.92,0.1532,94.55,0.997,0.909
26,0.059788264567032456,0.0877,96.79,0.999,0.964,0.0943,97.43,0.999,0.969
27,0.054691013297997415,0.0736,97.47,0.999,0.963,0.0804,97.74,0.999,0.965
28,0.05423339223489165,0.0896,97.57,0.999,0.96,0.0977,97.04,0.998,0.95
29,0.06251724867615849,0.0474,98.25,0.999,0.974,0.0541,98.44,0.999,0.975
30,0.05899445863906294,0.0602,97.27,0.999,0.964,0.0671,97.98,0.999,0.972
31,0.04800197563599795,0.0526,98.34,1.0,0.977,0.0534,98.29,0.999,0.973
32,0.037336938083171844,0.0449,98.54,1.0,0.976,0.0566,98.36,0.999,0.973
33,0.03839864523615688,0.0468,98.25,1.0,0.973,0.0558,98.13,0.999,0.971
34,0.03846092242747545,0.0514,97.66,1.0,0.965,0.0555,98.52,0.999,0.978
35,0.03523985331412405,0.0326,99.03,1.0,0.985,0.0414,98.91,0.999,0.982
36,0.03440152376424521,0.0334,99.03,1.0,0.985,0.0424,98.99,0.999,0.983
37,0.033646278316155076,0.0313,98.73,1.0,0.98,0.0456,98.6,0.999,0.978
38,0.03145218372810632,0.0294,99.03,1.0,0.984,0.0433,98.99,0.999,0.984
39,0.030596737284213305,0.028,99.12,1.0,0.986,0.0435,98.6,0.999,0.977
40,0.029875197156798095,0.0302,99.03,1.0,0.984,0.0439,98.6,0.999,0.977
41,0.027947643888182938,0.0316,98.83,1.0,0.982,0.0415,98.75,0.999,0.981
42,0.024602148565463722,0.0339,98.83,1.0,0.982,0.0443,98.68,0.999,0.979
43,0.02859911206178367,0.0296,99.03,1.0,0.984,0.0404,98.83,0.999,0.981
44,0.026863076258450747,0.031,99.03,1.0,0.984,0.042,98.68,0.999,0.979
45,0.02770043455529958,0.0319,99.12,1.0,0.986,0.0423,98.83,0.999,0.981
46,0.02981865790206939,0.0293,99.12,1.0,0.986,0.0422,98.68,0.999,0.979
