epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.369423136991613,1.4455,27.78,0.569,0.227,1.445,28.93,0.584,0.236
1,1.5473837642108692,105.066,25.0,0.499,0.1,105.4385,25.0,0.504,0.1
2,1.3699494950911577,296.955,25.0,0.5,0.1,297.1481,25.0,0.5,0.1
3,1.1278930762234856,3.3712,41.67,0.661,0.322,3.5899,42.5,0.663,0.34
4,0.9523148992482353,1.9275,39.68,0.749,0.315,1.9192,37.86,0.733,0.328
5,0.8319842990706948,1.8754,53.17,0.785,0.48,1.8389,48.93,0.789,0.42
6,0.7824045104138991,2.196,31.75,0.623,0.281,2.1492,27.86,0.647,0.254
7,0.8303069261943593,1.8715,50.79,0.767,0.451,1.9801,50.36,0.735,0.441
8,0.7550256287350374,1.5582,45.24,0.784,0.411,1.5149,46.79,0.783,0.432
9,0.7059231155058917,2.3366,41.27,0.75,0.3,2.1719,41.43,0.743,0.315
10,0.6301147499505211,6.296,30.56,0.735,0.207,6.0775,32.86,0.769,0.23
11,0.6883840262889862,2.128,40.87,0.683,0.364,1.9765,44.64,0.723,0.399
12,0.5500092260977801,1.0475,63.89,0.907,0.616,1.0322,67.5,0.912,0.653
13,0.43437452701961293,3.6339,42.06,0.7,0.359,3.2494,47.14,0.735,0.409
14,0.47410372425528136,0.734,70.63,0.935,0.707,0.6795,72.86,0.945,0.726
15,0.5128105089944952,0.6417,76.98,0.943,0.769,0.6218,77.86,0.943,0.78
16,0.4398345403811511,1.3916,64.68,0.881,0.645,1.4742,60.71,0.872,0.592
17,0.4498910500722773,4.9222,27.78,0.805,0.156,4.7351,27.14,0.802,0.145
18,0.33235465691370125,2.9074,51.19,0.868,0.47,2.8689,53.93,0.877,0.5
19,0.3151957778369679,1.7675,60.32,0.886,0.579,1.6711,57.86,0.899,0.548
20,0.28198860760997324,1.853,56.75,0.878,0.507,1.7545,60.36,0.882,0.553
21,0.2765638915931477,1.9326,58.33,0.934,0.578,2.0632,55.0,0.929,0.532
22,0.26503056287765503,4.9957,37.7,0.81,0.318,4.6059,39.29,0.809,0.338
23,0.2576287029420628,0.6202,77.78,0.946,0.78,0.5991,75.71,0.948,0.761
24,0.23178744403754964,0.7166,76.98,0.951,0.76,0.5996,76.07,0.964,0.75
25,0.19669293612241745,1.2195,64.29,0.914,0.625,1.1458,74.64,0.932,0.739
26,0.16635099097209818,1.7887,67.06,0.93,0.672,1.7321,64.29,0.93,0.64
27,0.15205783572267084,0.4282,86.51,0.984,0.864,0.3389,86.79,0.99,0.864
28,0.13150708333534353,0.3323,88.89,0.991,0.888,0.3213,87.5,0.986,0.875
29,0.11709736112286062,0.3521,89.29,0.989,0.892,0.3066,90.71,0.99,0.907
30,0.09376830541912247,0.3511,87.7,0.986,0.876,0.232,90.0,0.993,0.9
31,0.07728893835754956,0.2311,91.27,0.992,0.912,0.1534,93.93,0.996,0.939
32,0.08080178608789164,0.2735,89.68,0.991,0.895,0.2573,92.14,0.992,0.921
33,0.05602970620726838,0.5009,88.1,0.984,0.877,0.324,90.36,0.99,0.902
34,0.05152148128870655,0.2441,91.67,0.992,0.915,0.1568,93.21,0.996,0.932
35,0.040017162175739515,0.1776,95.24,0.993,0.952,0.1314,95.36,0.997,0.953
36,0.03000979487072019,0.3428,89.29,0.992,0.895,0.211,91.79,0.996,0.919
37,0.02977148722857237,0.18,94.84,0.995,0.949,0.1286,95.36,0.998,0.954
38,0.021724609329419976,0.2523,92.46,0.991,0.925,0.1092,95.36,0.998,0.953
39,0.022475946146775696,0.5149,86.9,0.992,0.872,0.3209,90.36,0.995,0.905
40,0.018236139515305266,0.1504,94.84,0.996,0.948,0.0807,97.5,0.999,0.975
41,0.01371819169863182,0.1493,94.44,0.995,0.945,0.0631,97.14,0.999,0.972
42,0.009668626274694414,0.1495,95.24,0.996,0.953,0.0586,97.86,0.999,0.979
43,0.015025292194503196,0.1549,94.44,0.996,0.945,0.0552,97.5,0.999,0.975
44,0.012785488958744443,0.139,95.24,0.996,0.952,0.0586,96.79,0.999,0.968
45,0.009274266495862427,0.1433,95.24,0.996,0.952,0.0646,97.5,0.999,0.975
46,0.008004455388907124,0.1503,94.44,0.996,0.945,0.0571,97.86,0.999,0.979
47,0.008797401233631022,0.1452,94.84,0.996,0.949,0.0557,97.5,0.999,0.975
48,0.01107913929530803,0.1443,94.84,0.996,0.949,0.0547,97.5,0.999,0.975
49,0.007183351718327578,0.1412,94.84,0.996,0.949,0.0543,97.5,0.999,0.975
