epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3792630363913143,1.3967,23.41,0.52,0.148,1.3983,24.29,0.484,0.143
1,1.5900992225198185,202.854,25.0,0.491,0.1,202.4521,25.0,0.489,0.1
2,1.7435941696166992,4300.4019,25.0,0.5,0.1,4293.0215,25.0,0.5,0.1
epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3792630363913143,1.3967,23.41,0.52,0.148,1.3983,24.29,0.484,0.143
1,1.5900992225198185,202.854,25.0,0.491,0.1,202.4521,25.0,0.489,0.1
2,1.7435941696166992,4300.4019,25.0,0.5,0.1,4293.0215,25.0,0.5,0.1
3,1.3887993518043966,2883.0346,25.0,0.5,0.1,2879.2149,25.0,0.5,0.1
4,1.3693185133092545,40.9364,25.0,0.529,0.1,40.8503,25.0,0.56,0.1
5,1.22589471059687,229.7398,25.0,0.5,0.1,229.1989,25.0,0.5,0.1
6,1.1936956644058228,27.3264,25.0,0.533,0.1,27.2559,25.0,0.535,0.1
7,1.1592256952734554,91.3424,25.0,0.514,0.1,91.1336,25.0,0.506,0.1
8,1.0875975384431726,51.7321,25.0,0.492,0.1,51.5698,25.0,0.494,0.1
9,1.1171433434766882,138.2879,25.0,0.5,0.1,137.8962,25.0,0.5,0.1
10,1.071217137224534,9.6033,25.0,0.569,0.1,9.6335,25.0,0.555,0.1
11,1.0311364286086138,22.3697,25.0,0.47,0.1,22.2165,25.0,0.484,0.1
12,1.00233677555533,80.9483,25.0,0.492,0.1,80.8184,25.0,0.464,0.1
13,0.9470927925670848,362.0522,25.0,0.5,0.1,361.8014,25.0,0.5,0.1
14,0.8928277457461637,16.9506,25.0,0.579,0.1,16.9298,25.0,0.561,0.1
15,0.883886414415696,25.1618,25.0,0.498,0.1,25.1447,25.0,0.479,0.1
16,0.9009673946044024,235.467,25.0,0.5,0.1,235.3159,25.0,0.5,0.1
17,0.8649318884400761,31.9316,25.0,0.503,0.1,31.9423,25.0,0.488,0.1
18,0.7770910578615525,14.8559,25.0,0.566,0.1,14.806,25.0,0.574,0.1
19,0.7366243951460895,13.9449,25.0,0.501,0.1,13.8997,25.0,0.494,0.1
20,0.7243940444553599,33.1589,25.0,0.558,0.1,33.1259,25.0,0.554,0.1
21,0.6909624829011805,62.0879,25.0,0.488,0.1,62.0635,25.0,0.454,0.1
22,0.6230850535280564,7.4073,25.0,0.492,0.1,7.3647,25.0,0.478,0.1
23,0.6687251942999223,81.2152,25.0,0.479,0.1,80.9905,25.0,0.458,0.1
24,0.5779081775861628,11.4459,25.0,0.473,0.1,11.3231,25.0,0.49,0.1
25,0.6015250665300033,42.0019,25.0,0.5,0.1,41.8313,25.0,0.491,0.1
26,0.5700937825090745,19.223,25.0,0.578,0.1,19.2793,25.0,0.584,0.1
27,0.5744298468617832,14.5049,25.0,0.507,0.1,14.3943,25.0,0.526,0.1
28,0.558652888326084,28.1367,25.0,0.472,0.1,28.0892,25.0,0.469,0.1
29,0.5390447746304905,101.5584,25.0,0.491,0.1,101.4352,25.0,0.487,0.1
30,0.47380876015214357,114.8573,25.0,0.49,0.1,114.5516,25.0,0.47,0.1
31,0.48804454242481904,13.8533,22.62,0.512,0.143,13.242,27.14,0.556,0.178
32,0.43608995220240426,10.4905,23.41,0.601,0.111,10.7544,23.93,0.571,0.116
33,0.4298974468427546,25.6576,25.0,0.581,0.1,25.4139,25.0,0.582,0.1
34,0.4085869526161867,71.0217,25.0,0.488,0.1,70.7817,25.0,0.51,0.1
35,0.40080490182427797,82.5387,25.0,0.472,0.1,82.5326,25.0,0.46,0.1
36,0.42035888749010425,27.3423,25.0,0.445,0.1,27.183,25.0,0.478,0.1
37,0.3672328135546516,5.5186,26.19,0.6,0.125,5.6069,26.07,0.61,0.124
38,0.32397330946782055,45.8193,25.0,0.482,0.1,45.7031,25.0,0.478,0.1
39,0.32044753958197203,42.0505,25.0,0.544,0.1,41.9461,25.0,0.552,0.1
40,0.3066168707959792,33.8587,25.0,0.501,0.1,33.5499,25.0,0.518,0.1
41,0.30862365224782157,75.4317,25.0,0.47,0.1,75.3943,25.0,0.472,0.1
42,0.26594600432059345,10.0854,26.59,0.588,0.155,10.2753,25.36,0.569,0.146
43,0.23194023616173687,11.7529,29.37,0.591,0.207,11.4218,29.29,0.605,0.199
44,0.2283660857116475,37.1821,25.0,0.532,0.1,37.0196,25.0,0.537,0.1
45,0.20576547875123866,17.6328,28.57,0.641,0.167,16.9924,31.43,0.652,0.192
46,0.18062964125591166,12.1338,25.0,0.613,0.1,12.504,26.07,0.579,0.122
47,0.16184863141354391,8.5875,30.95,0.534,0.2,8.3757,30.71,0.59,0.2
48,0.13316917463260539,25.7154,26.59,0.518,0.164,25.0649,30.71,0.572,0.197
49,0.10817165190682691,47.7825,25.0,0.548,0.1,47.3706,25.0,0.59,0.1
50,0.09297963407109766,10.8336,27.78,0.588,0.166,11.238,27.5,0.573,0.161
51,0.09975375498042387,22.6945,23.02,0.459,0.12,21.8598,21.07,0.497,0.102
52,0.09971165284514427,50.4318,25.0,0.522,0.1,50.0296,25.0,0.52,0.1
53,0.09925460683948853,20.9462,26.59,0.589,0.18,19.6911,28.21,0.621,0.19
54,0.0679349925588159,17.7633,25.79,0.566,0.12,17.8035,27.14,0.56,0.149
55,0.06577083786182544,28.6604,25.4,0.625,0.109,29.1715,25.36,0.628,0.108
56,0.04820225869908052,19.9212,19.44,0.444,0.108,19.4888,18.93,0.462,0.106
57,0.05024103294400608,7.6467,40.48,0.763,0.321,7.4919,36.43,0.759,0.272
58,0.03187951483928105,3.6821,48.81,0.777,0.477,3.883,48.21,0.779,0.473
59,0.029082014115855974,10.0687,34.13,0.721,0.25,10.2729,30.71,0.726,0.201
60,0.02769278997884077,8.3822,31.35,0.725,0.225,8.7873,27.14,0.684,0.179
61,0.024481174645616728,0.486,87.7,0.977,0.875,0.3427,87.86,0.986,0.877
