epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3652408123016357,1.3753,25.79,0.594,0.183,1.3724,28.93,0.615,0.206
1,1.376560166478157,216.6317,25.79,0.528,0.116,233.7492,25.36,0.541,0.108
epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3650832176208496,1.3743,26.19,0.602,0.186,1.371,28.93,0.625,0.21
1,1.3760550767183304,101.4781,26.59,0.539,0.156,112.2056,30.0,0.539,0.192
2,1.090717263519764,183.7707,25.0,0.493,0.1,196.8994,25.0,0.498,0.1
3,1.0071687400341034,72.968,26.59,0.523,0.176,89.1709,26.79,0.523,0.177
4,0.8705637753009796,300.7085,23.41,0.55,0.153,269.0884,26.07,0.543,0.173
5,0.7225306332111359,328.6258,34.13,0.582,0.281,266.0968,35.0,0.578,0.287
6,0.9724226742982864,673.5948,21.43,0.494,0.143,634.287,25.71,0.48,0.181
7,1.2133986726403236,75.9488,27.78,0.569,0.227,71.8078,29.29,0.551,0.243
8,0.7597393319010735,8.0991,34.92,0.655,0.346,7.7207,38.93,0.661,0.379
9,0.7136079147458076,1.6679,48.02,0.756,0.468,1.8916,46.07,0.744,0.454
10,0.609247550368309,1.3997,54.76,0.812,0.534,1.6675,51.43,0.795,0.509
11,0.5357814729213715,0.6899,70.63,0.937,0.697,0.792,69.29,0.915,0.686
12,0.470436479896307,0.3997,84.92,0.977,0.85,0.6289,76.79,0.943,0.77
13,0.4025748036801815,0.4816,83.73,0.968,0.837,0.6055,76.79,0.95,0.769
14,0.3624967709183693,0.3537,88.89,0.977,0.888,0.3936,85.0,0.972,0.849
15,0.31559959799051285,0.5811,82.14,0.965,0.819,0.842,72.5,0.934,0.713
16,0.2633604519069195,0.353,85.71,0.978,0.857,0.3985,87.86,0.971,0.879
17,0.2402498610317707,0.378,86.9,0.985,0.865,0.4655,82.5,0.975,0.823
18,0.22042511962354183,0.4248,82.94,0.98,0.83,0.6134,80.0,0.962,0.799
19,0.23821165598928928,0.3301,87.3,0.986,0.872,0.4665,83.21,0.972,0.833
20,0.23555414378643036,0.4453,87.3,0.977,0.873,0.4098,83.57,0.974,0.836
21,0.369455199688673,0.9101,73.81,0.929,0.736,1.0163,70.0,0.92,0.696
22,0.26065409928560257,0.54,81.35,0.957,0.814,0.5791,76.79,0.954,0.769
23,0.20759426429867744,0.4326,87.3,0.975,0.874,0.3956,85.36,0.977,0.853
24,0.15947643388062716,0.3546,84.92,0.985,0.846,0.4774,83.21,0.973,0.83
25,0.14210273418575525,0.3351,89.68,0.987,0.896,0.3484,87.86,0.985,0.878
26,0.14901362080127,0.2058,94.05,0.993,0.941,0.232,93.21,0.992,0.933
27,0.11960047017782927,0.1204,96.03,0.997,0.96,0.1311,95.36,0.997,0.954
28,0.1259194565936923,0.1573,94.84,0.997,0.948,0.2042,91.79,0.994,0.918
29,0.10633334051817656,0.1072,97.22,0.998,0.972,0.1049,96.43,0.998,0.964
30,0.08439831715077162,0.1926,94.44,0.994,0.944,0.1863,95.71,0.994,0.957
31,0.06429834570735693,0.1097,97.22,0.997,0.972,0.1041,96.07,0.998,0.96
32,0.06799491541460156,0.1,97.22,0.998,0.972,0.0592,98.57,1.0,0.986
33,0.06290004821494222,0.1149,97.22,0.998,0.972,0.126,94.64,0.997,0.946
34,0.06921253213658929,0.07,97.62,0.999,0.976,0.0444,98.57,1.0,0.986
35,0.05979098193347454,0.1048,96.83,0.998,0.968,0.0558,97.5,1.0,0.975
36,0.04873745096847415,0.0589,98.81,0.999,0.988,0.0443,98.93,1.0,0.989
37,0.04632047167979181,0.0822,98.41,0.999,0.984,0.043,98.93,1.0,0.989
38,0.04747204342857003,0.112,96.83,0.997,0.968,0.0647,98.21,0.999,0.982
39,0.03899732301943004,0.0511,98.02,0.999,0.98,0.0273,99.29,1.0,0.993
40,0.03358864365145564,0.0515,97.22,0.999,0.972,0.0249,99.64,1.0,0.996
41,0.037802902050316334,0.0592,98.02,1.0,0.98,0.0284,99.64,1.0,0.996
42,0.04422951187007129,0.0603,98.02,0.999,0.98,0.0325,98.57,1.0,0.986
43,0.03860885417088866,0.0593,97.62,0.999,0.976,0.0253,99.29,1.0,0.993
44,0.0335940383374691,0.0635,97.62,0.999,0.976,0.0259,99.64,1.0,0.996
45,0.03183282376267016,0.0594,97.62,0.999,0.976,0.0242,99.29,1.0,0.993
46,0.02930632629431784,0.0599,97.62,0.999,0.976,0.0243,99.29,1.0,0.993
47,0.02836702484637499,0.058,97.62,1.0,0.976,0.0237,99.29,1.0,0.993
48,0.03550388291478157,0.063,97.62,0.999,0.976,0.0243,99.64,1.0,0.996
49,0.024825635831803083,0.0568,97.62,1.0,0.976,0.0237,99.64,1.0,0.996
