epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,0.7548944171542019,0.5796,78.72,0.973,0.79,0.5851,78.83,0.972,0.792
1,0.4903272279324828,0.8161,74.21,0.98,0.74,0.8153,74.4,0.98,0.742
2,0.2607138833745006,0.2561,92.08,0.995,0.92,0.2468,92.05,0.995,0.919
3,0.18713365678278612,0.2333,92.51,0.995,0.926,0.2349,92.3,0.995,0.923
4,0.13718149497929555,0.2195,92.83,0.997,0.928,0.2029,93.54,0.998,0.935
5,0.11202210375771916,0.1826,94.22,0.998,0.941,0.1767,94.07,0.998,0.939
6,0.10229027611492661,0.1132,96.39,0.999,0.964,0.1108,96.45,0.999,0.964
7,0.09112219092470038,0.3518,89.99,0.993,0.899,0.3363,90.47,0.994,0.904
8,0.09094588533921338,0.1608,94.71,0.998,0.948,0.1524,94.71,0.998,0.948
9,0.07840588586743945,0.0783,97.72,0.999,0.977,0.0727,97.65,0.999,0.976
10,0.07454002167574854,0.0928,97.15,0.999,0.971,0.0826,97.33,0.999,0.973
11,0.07074952715652849,0.1057,96.49,0.999,0.965,0.0931,96.95,0.999,0.97
12,0.06505227045253781,0.1163,96.15,0.999,0.962,0.1102,96.31,0.999,0.963
13,0.0602098724463799,0.1196,96.29,0.999,0.965,0.1104,96.37,0.999,0.965
14,0.0604948578881024,0.09,97.03,0.999,0.97,0.0771,97.52,0.999,0.975
15,0.056603999565130125,0.0683,97.98,0.999,0.979,0.0623,98.18,1.0,0.981
16,0.05090166096888658,0.1315,95.71,0.999,0.958,0.1314,95.8,0.998,0.959
17,0.04919968439740721,0.0753,97.57,0.999,0.976,0.068,97.74,1.0,0.977
18,0.048344949447815116,0.1467,95.53,0.999,0.957,0.1334,95.8,0.999,0.959
19,0.045711689445188136,0.071,97.88,0.999,0.978,0.0615,98.24,0.999,0.982
20,0.042911380842503566,0.0734,97.57,0.999,0.976,0.0656,97.93,1.0,0.979
21,0.039439574223035664,0.0803,97.37,0.999,0.974,0.0725,97.58,1.0,0.976
22,0.03844693307495602,0.0709,97.7,0.999,0.977,0.0608,98.04,1.0,0.98
23,0.035308312154045965,0.1079,96.74,0.999,0.967,0.0948,97.06,0.999,0.971
24,0.03271446598402566,0.0486,98.51,1.0,0.985,0.0415,98.64,1.0,0.986
25,0.031293390354648135,0.0704,97.79,0.999,0.978,0.0651,97.95,1.0,0.979
26,0.02663759854313074,0.0874,97.34,0.999,0.973,0.0844,97.44,0.999,0.974
27,0.026850319814487367,0.0617,98.16,1.0,0.981,0.0505,98.42,1.0,0.984
28,0.02475507390471993,0.0555,98.23,1.0,0.982,0.0454,98.61,1.0,0.986
29,0.022566570328026052,0.0534,98.36,1.0,0.984,0.0446,98.52,1.0,0.985
30,0.0202218396948128,0.0456,98.53,1.0,0.985,0.0404,98.78,1.0,0.988
31,0.01745830607706206,0.0397,98.79,1.0,0.988,0.0395,98.82,1.0,0.988
32,0.014991270461991207,0.0498,98.5,1.0,0.985,0.0435,98.79,1.0,0.988
33,0.014111159536867887,0.0409,98.75,1.0,0.987,0.0349,98.91,1.0,0.989
34,0.011718875106336346,0.0431,98.88,1.0,0.989,0.0354,99.05,1.0,0.99
35,0.010259324940005258,0.0395,98.91,1.0,0.989,0.0328,98.98,1.0,0.99
36,0.007495093314930382,0.0382,98.96,1.0,0.989,0.0338,99.1,1.0,0.991
37,0.006685427934473792,0.0319,99.11,1.0,0.991,0.0314,99.12,1.0,0.991
38,0.0048050360626499195,0.0314,99.1,1.0,0.991,0.0279,99.23,1.0,0.992
39,0.00383984640926697,0.0322,99.08,1.0,0.991,0.0274,99.21,1.0,0.992
40,0.0033319911877654606,0.0308,99.18,1.0,0.992,0.027,99.26,1.0,0.993
41,0.002546490907940288,0.031,99.1,1.0,0.991,0.0258,99.27,1.0,0.993
42,0.0023861418376483296,0.0304,99.2,1.0,0.992,0.0254,99.3,1.0,0.993
43,0.0021950929770664946,0.0298,99.18,1.0,0.992,0.0262,99.29,1.0,0.993
44,0.002174881976935414,0.0296,99.17,1.0,0.992,0.0254,99.32,1.0,0.993
45,0.0018725287871199962,0.0302,99.14,1.0,0.991,0.0251,99.27,1.0,0.993
46,0.0017374067824549287,0.0295,99.2,1.0,0.992,0.0253,99.3,1.0,0.993
47,0.0016387192177440676,0.0299,99.2,1.0,0.992,0.0252,99.33,1.0,0.993
48,0.0017974092056715514,0.0298,99.23,1.0,0.992,0.025,99.35,1.0,0.993
49,0.0016814607337149103,0.0296,99.2,1.0,0.992,0.0249,99.33,1.0,0.993
