epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3820414823644303,1.4173,25.0,0.392,0.101,1.417,25.0,0.39,0.101
1,1.706418142599218,14.783,24.6,0.546,0.106,15.0266,26.79,0.548,0.139
2,1.4122752582325655,157.7314,25.0,0.501,0.1,158.2242,25.0,0.502,0.1
3,1.182013231165269,7.2311,25.79,0.598,0.171,6.9113,26.43,0.605,0.176
4,1.0914554595947266,1.4228,47.22,0.754,0.421,1.3457,45.71,0.774,0.405
5,0.9993170920540305,2.5336,38.89,0.654,0.363,2.5474,34.64,0.641,0.307
6,0.920294347931357,5.4842,30.95,0.675,0.224,5.6773,29.29,0.664,0.194
7,0.9691770006628597,1.5022,46.83,0.73,0.432,1.484,43.21,0.736,0.402
8,0.8486838445943945,1.6624,40.08,0.74,0.361,1.7515,40.71,0.736,0.372
9,0.748129294199102,11.1216,25.79,0.589,0.122,10.7445,26.43,0.559,0.138
10,0.6956980929655188,25.8369,27.38,0.595,0.148,24.7148,25.71,0.596,0.116
11,0.6745147599893457,1.6223,39.29,0.749,0.361,1.6488,45.0,0.762,0.409
12,0.6033327316536623,2.2055,39.68,0.698,0.359,1.9709,43.57,0.759,0.412
13,0.5557345379801357,4.0732,36.51,0.689,0.248,3.7609,34.64,0.71,0.245
14,0.565028148538926,8.29,37.3,0.669,0.284,7.5242,39.29,0.688,0.32
15,0.5817771729301003,5.069,38.89,0.755,0.308,5.2281,35.0,0.706,0.287
16,0.5045300301383523,1.8679,59.52,0.835,0.588,1.8496,58.21,0.84,0.579
17,0.550116777420044,2.6734,42.46,0.777,0.392,2.7899,41.07,0.761,0.373
18,0.4050781726837158,2.2453,49.21,0.798,0.48,2.0131,57.5,0.835,0.571
19,0.39102808342260476,1.0602,73.02,0.902,0.733,0.9252,71.79,0.92,0.72
20,0.38320842385292053,1.8624,53.17,0.854,0.524,1.8195,55.0,0.849,0.543
21,0.3518707953831729,1.2117,64.68,0.9,0.633,0.9681,72.5,0.93,0.707
22,0.34213317317121167,0.7723,71.43,0.939,0.706,0.6835,72.14,0.95,0.722
23,0.28692319200319405,1.3803,63.1,0.891,0.626,1.2782,60.71,0.897,0.605
24,0.3016177713871002,0.476,85.71,0.97,0.857,0.3803,84.64,0.975,0.846
25,0.2758103942169863,0.4637,87.7,0.965,0.877,0.3817,85.36,0.976,0.852
26,0.2354442223029978,0.8655,81.35,0.954,0.813,0.7461,80.71,0.959,0.804
27,0.20010336225523667,0.9596,77.78,0.952,0.781,0.6331,78.93,0.967,0.789
28,0.20556007763918707,0.588,83.33,0.969,0.83,0.4334,83.21,0.981,0.831
29,0.17668752503745697,0.5278,84.52,0.975,0.845,0.3882,84.64,0.976,0.848
30,0.15377827865235946,0.8148,82.94,0.954,0.829,0.7806,78.57,0.949,0.787
31,0.15665315442225514,0.8329,74.21,0.964,0.744,0.8614,71.79,0.965,0.72
32,0.10736862460480016,0.6701,82.94,0.966,0.828,0.6398,81.07,0.967,0.81
33,0.0950446271282785,0.2796,93.25,0.99,0.933,0.1992,92.86,0.994,0.929
34,0.11047201800872297,0.2919,90.08,0.985,0.901,0.1951,93.21,0.993,0.933
35,0.11443385416093994,0.4367,85.71,0.985,0.855,0.3105,89.64,0.988,0.897
36,0.07765887896804248,0.4632,88.49,0.981,0.886,0.2665,91.07,0.989,0.911
37,0.056466185542590475,0.1946,94.05,0.992,0.94,0.1323,95.36,0.996,0.954
38,0.05099804852815235,0.2816,93.25,0.991,0.933,0.202,93.21,0.996,0.932
39,0.038618073141311896,0.1799,94.84,0.994,0.948,0.1158,96.07,0.997,0.961
40,0.02499573551775778,0.1611,96.03,0.994,0.96,0.1077,95.71,0.997,0.957
41,0.023532977163353386,0.1427,96.03,0.996,0.96,0.0802,97.86,0.999,0.979
42,0.023879122701199615,0.1151,97.22,0.996,0.972,0.0921,96.79,0.998,0.968
43,0.02449261019115939,0.1374,96.43,0.996,0.964,0.0846,95.36,0.999,0.954
44,0.02155948945266359,0.1103,98.41,0.996,0.984,0.0717,96.43,0.999,0.964
45,0.0195478712044218,0.111,98.02,0.996,0.98,0.0696,97.14,0.999,0.971
46,0.020138413974029178,0.1046,98.02,0.996,0.98,0.0727,97.14,0.999,0.971
47,0.01642229994211127,0.1077,98.41,0.996,0.984,0.0666,97.14,0.999,0.971
48,0.019687468514722938,0.1061,98.41,0.996,0.984,0.0682,97.14,0.999,0.971
49,0.013642358374507987,0.1075,98.41,0.996,0.984,0.0671,97.5,0.999,0.975
