epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3733480116900276,1.39,28.57,0.651,0.164,1.3898,27.14,0.648,0.14
1,1.557936563211329,22.8692,25.0,0.491,0.1,23.6487,25.0,0.493,0.1
2,2.038437646978042,783.7832,25.4,0.525,0.116,823.8296,25.36,0.528,0.116
3,1.1744904658373665,146.3069,25.0,0.49,0.1,146.812,25.0,0.499,0.1
4,1.1429382492514217,29.2612,25.0,0.504,0.1,29.0663,25.0,0.509,0.1
5,1.2549543030121748,4.6898,31.35,0.596,0.221,6.8723,29.29,0.602,0.213
6,1.0832228941075943,1.3139,40.48,0.772,0.357,1.3376,43.21,0.766,0.375
7,1.033442784758175,1.4355,52.38,0.799,0.501,2.1936,51.07,0.798,0.494
8,1.0395387376055998,2.5712,41.27,0.699,0.379,4.1169,40.0,0.684,0.369
9,0.9720304187606362,1.0988,54.76,0.814,0.518,1.3004,50.71,0.785,0.476
10,0.9147597165668712,1.2976,49.21,0.794,0.453,1.4087,50.71,0.818,0.477
11,0.8704847307766185,1.1281,54.37,0.828,0.535,1.0825,53.57,0.843,0.522
12,0.8363975496853099,0.9622,63.49,0.879,0.629,0.8886,63.21,0.871,0.624
13,0.8177216298439923,1.0267,58.33,0.843,0.584,0.9939,57.86,0.857,0.574
14,0.7548468919361339,1.2668,53.57,0.846,0.526,1.2023,55.71,0.851,0.54
15,0.7630454617388108,1.5456,46.03,0.783,0.434,1.4292,46.43,0.801,0.44
16,0.6620422741946053,0.7894,65.87,0.919,0.633,0.78,68.57,0.918,0.657
17,0.6690294391968671,1.9919,45.63,0.786,0.398,1.8907,47.14,0.805,0.432
18,0.5566985186408547,1.4258,66.27,0.869,0.66,1.4247,68.57,0.878,0.682
19,0.5783866766621085,0.9312,63.1,0.88,0.618,0.9449,66.79,0.891,0.656
20,0.5301843636176166,0.798,69.05,0.912,0.677,0.938,73.57,0.904,0.726
21,0.4803209497648127,0.6709,73.02,0.95,0.734,0.6334,77.86,0.949,0.779
22,0.4655298923744875,1.7281,55.95,0.847,0.534,1.8107,52.86,0.843,0.504
23,0.44675009040271535,0.8969,66.67,0.93,0.667,0.8517,69.29,0.935,0.686
24,0.4607785554493175,0.833,67.46,0.943,0.665,0.6594,72.14,0.957,0.719
25,0.42833664487389955,1.0732,73.81,0.908,0.739,0.9696,64.64,0.902,0.646
26,0.35924140846028046,1.032,69.44,0.932,0.691,1.1584,64.64,0.923,0.642
27,0.31908831876866955,0.6767,75.4,0.952,0.753,0.7326,71.43,0.951,0.708
28,0.2955278158187866,0.6569,77.78,0.948,0.776,0.9245,75.71,0.92,0.749
29,0.2736746414619334,0.6654,79.37,0.971,0.794,0.602,80.0,0.969,0.8
30,0.22212371054817648,0.4084,84.92,0.979,0.847,0.5199,83.21,0.969,0.832
31,0.21118568585199468,0.2635,90.08,0.988,0.902,0.3154,88.93,0.982,0.89
32,0.17764616713804357,0.9619,74.21,0.948,0.741,1.1023,67.14,0.934,0.668
33,0.20175916000324137,0.5686,82.94,0.971,0.831,0.5548,80.36,0.97,0.803
34,0.18728938348153057,0.4667,84.13,0.978,0.844,0.512,81.07,0.973,0.815
35,0.1542040376978762,0.4271,85.71,0.97,0.856,0.4005,87.5,0.974,0.875
36,0.14362640109132319,0.6308,82.14,0.97,0.819,0.5889,81.79,0.976,0.817
37,0.12594027685768464,0.2274,92.86,0.99,0.929,0.24,91.43,0.991,0.915
38,0.12046189277487643,0.1649,92.46,0.995,0.925,0.2187,92.5,0.991,0.925
39,0.10514474813552464,0.1629,92.46,0.995,0.924,0.2068,92.14,0.993,0.922
40,0.0856377990806804,0.1716,94.05,0.995,0.94,0.2152,93.93,0.992,0.939
41,0.07787377781727735,0.1554,96.03,0.996,0.96,0.2342,92.5,0.992,0.925
42,0.06881592378896825,0.1185,95.24,0.997,0.952,0.159,94.64,0.995,0.946
43,0.06710255628123003,0.109,95.63,0.998,0.956,0.1796,93.21,0.994,0.932
44,0.06485140192158081,0.1174,95.63,0.998,0.956,0.1718,92.5,0.995,0.925
45,0.061671732979662275,0.1075,95.63,0.998,0.956,0.1725,93.21,0.995,0.932
46,0.06669735141536769,0.1024,96.43,0.998,0.964,0.1706,93.21,0.995,0.932
47,0.054499804973602295,0.1043,96.03,0.998,0.96,0.1611,93.21,0.996,0.932
48,0.05281479623826111,0.107,95.63,0.998,0.956,0.163,93.57,0.995,0.936
49,0.05218468825606739,0.1076,95.63,0.998,0.956,0.1663,93.21,0.995,0.932
