epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3764554192038143,1.3905,26.59,0.594,0.131,1.3916,26.43,0.582,0.128
1,1.6028764528386734,22.3598,25.0,0.617,0.1,22.3891,24.29,0.61,0.104
2,1.6367580259547514,5.5161,29.37,0.614,0.176,5.2794,30.36,0.617,0.197
3,1.2799690961837769,1.3494,37.3,0.684,0.309,1.308,39.29,0.706,0.329
4,1.0987618775928722,1.4384,39.68,0.73,0.35,1.4051,37.86,0.734,0.321
5,1.0301366553587072,1.1959,53.17,0.786,0.49,1.1306,53.21,0.813,0.502
6,0.9411204036544351,3.9779,34.92,0.706,0.263,3.9773,34.64,0.716,0.261
7,0.9448110075557933,1.7154,40.48,0.756,0.332,1.5534,44.29,0.784,0.402
8,0.9132034533164081,2.7484,34.13,0.71,0.258,2.8687,33.57,0.712,0.249
9,0.8243024559581981,2.2676,34.92,0.705,0.29,2.2553,38.93,0.715,0.328
10,0.8812811059110305,2.0349,47.62,0.782,0.399,2.1472,50.36,0.787,0.431
11,0.7484743139323067,3.1003,38.49,0.728,0.33,3.0135,37.5,0.715,0.317
12,0.7155102736809674,3.1458,40.87,0.763,0.373,3.0639,37.5,0.756,0.35
13,0.6838621041354012,2.6546,42.46,0.764,0.316,2.2858,47.5,0.803,0.37
14,0.6012778965865865,2.2166,43.65,0.74,0.36,2.0896,47.5,0.764,0.425
15,0.5525433123111725,1.0259,65.48,0.88,0.645,1.0207,65.0,0.887,0.645
16,0.6122813768246594,1.7806,50.0,0.81,0.47,1.7046,47.5,0.803,0.439
17,0.6766810662606183,1.4892,56.75,0.857,0.538,1.4069,51.79,0.863,0.478
18,0.48329546521691713,1.9283,49.21,0.875,0.43,1.8349,54.64,0.887,0.5
19,0.4267713602851419,0.8826,69.44,0.903,0.691,0.8049,72.5,0.916,0.725
20,0.41592560971484466,1.837,58.73,0.856,0.539,1.5938,62.14,0.881,0.58
21,0.4043215653475593,0.7986,73.02,0.93,0.729,0.8359,76.07,0.93,0.761
22,0.3706687040188733,1.2659,65.08,0.93,0.645,1.3165,63.21,0.914,0.618
23,0.35362643003463745,1.0591,71.03,0.914,0.704,1.0579,67.86,0.914,0.662
24,0.3243536107680377,1.1108,70.63,0.894,0.706,0.9592,71.43,0.903,0.717
25,0.34163546036271486,1.6383,58.33,0.883,0.557,1.4842,61.43,0.888,0.596
26,0.3078419531092924,1.4142,58.73,0.878,0.579,1.3755,63.93,0.899,0.628
27,0.22329714280717514,1.9747,59.92,0.859,0.568,1.6221,67.86,0.893,0.669
28,0.22382206820389805,0.718,79.76,0.961,0.799,0.7429,77.5,0.958,0.778
29,0.17972963522462285,0.4597,82.54,0.977,0.824,0.3921,85.0,0.981,0.847
30,0.1667674275882104,1.5268,65.48,0.923,0.646,1.4249,67.86,0.932,0.674
31,0.17954784807036905,0.5682,78.97,0.962,0.786,0.418,87.5,0.977,0.875
32,0.1456094594562755,0.3121,90.48,0.987,0.905,0.2876,90.0,0.987,0.9
33,0.1358536950805608,0.5792,84.92,0.973,0.85,0.4174,86.07,0.984,0.861
34,0.13358250873930314,0.4079,86.11,0.979,0.858,0.3755,87.5,0.983,0.874
35,0.12402380170191035,0.3793,87.3,0.984,0.871,0.3452,90.0,0.984,0.898
36,0.10797842854962629,0.4705,85.71,0.983,0.861,0.3386,88.57,0.99,0.889
37,0.08588378043735728,0.3291,88.89,0.988,0.888,0.1982,93.21,0.994,0.932
38,0.06644436475985191,0.5325,85.71,0.987,0.858,0.4088,87.86,0.988,0.879
39,0.06868659967885297,0.2571,92.46,0.992,0.926,0.1199,94.64,0.997,0.947
40,0.05942089570795789,0.2655,92.46,0.99,0.924,0.1157,95.71,0.998,0.957
41,0.0472605272251017,0.2673,93.25,0.992,0.933,0.139,93.21,0.997,0.933
42,0.03989145839039017,0.2031,94.44,0.993,0.945,0.0943,95.0,0.999,0.95
43,0.039513424586723835,0.2144,94.44,0.993,0.944,0.0841,97.14,0.999,0.971
44,0.03695158315274645,0.2234,94.44,0.993,0.945,0.0846,96.79,0.999,0.968
45,0.03318000886151019,0.1987,95.63,0.994,0.956,0.0692,97.5,0.999,0.975
46,0.030469104318934327,0.1975,94.05,0.994,0.941,0.067,97.5,0.999,0.975
47,0.028060314957709873,0.19,94.84,0.994,0.949,0.0633,97.5,1.0,0.975
48,0.02613459522014155,0.1896,94.84,0.994,0.949,0.0632,97.86,1.0,0.979
49,0.02507220849613933,0.1897,94.84,0.994,0.949,0.0626,97.86,1.0,0.979
