epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3804096895105697,1.4122,25.0,0.456,0.1,1.4146,24.64,0.403,0.099
1,1.733042268192067,7.0869,25.4,0.607,0.126,6.9707,27.14,0.614,0.145
2,1.4289680088267607,21.5847,25.0,0.577,0.1,21.0399,25.0,0.594,0.1
3,1.5253434040967155,5.1017,31.75,0.631,0.204,5.0036,33.57,0.64,0.22
4,1.161526602857253,1.2851,47.62,0.76,0.415,1.3394,42.86,0.737,0.376
5,0.9949775548542247,1.1295,51.98,0.798,0.504,1.0977,53.57,0.817,0.522
6,0.9146118304308724,1.3676,42.46,0.789,0.381,1.4522,41.07,0.782,0.365
7,0.9003132231095258,1.2597,52.78,0.823,0.519,1.3485,49.64,0.789,0.491
8,0.8293488516527063,1.0433,57.54,0.864,0.565,1.0582,50.71,0.86,0.491
9,0.7913194053313312,1.5638,48.81,0.794,0.429,1.6379,45.36,0.778,0.405
10,0.73816356939428,2.8874,41.67,0.765,0.369,2.8192,44.64,0.78,0.405
11,0.6863155750667348,1.8189,46.03,0.799,0.384,1.8627,44.29,0.803,0.375
12,0.6624140529071584,1.188,59.92,0.873,0.575,1.0584,62.5,0.872,0.612
13,0.6036916725775775,1.6906,58.73,0.879,0.546,1.5532,60.36,0.89,0.541
14,0.5943425788598902,2.1792,45.63,0.808,0.403,2.2956,42.5,0.813,0.358
15,0.6146601158029893,1.762,43.65,0.822,0.415,1.6815,48.57,0.834,0.475
16,0.5389564510654,0.9151,69.05,0.929,0.679,0.9254,69.29,0.923,0.688
17,0.5521491064744837,1.6727,59.52,0.836,0.593,1.6731,57.14,0.821,0.559
18,0.4615918608272777,1.0065,61.51,0.872,0.614,0.897,63.21,0.884,0.639
19,0.4401082151076373,1.6105,53.57,0.857,0.525,1.4696,56.07,0.87,0.546
20,0.434552846586003,0.517,80.95,0.957,0.811,0.5491,76.07,0.955,0.761
21,0.41043978403596315,0.4645,86.51,0.971,0.866,0.4183,83.21,0.97,0.831
22,0.37887190895922046,0.8582,67.46,0.916,0.655,0.8589,67.14,0.915,0.641
23,0.35578012817046223,1.7268,54.76,0.811,0.52,1.6836,51.07,0.808,0.485
24,0.33912718997282143,0.9861,75.4,0.916,0.741,0.8233,75.36,0.924,0.738
25,0.32891051997156706,1.203,65.48,0.917,0.633,1.2059,65.36,0.927,0.621
26,0.25557168266352487,0.457,80.95,0.965,0.811,0.4771,78.57,0.966,0.783
27,0.23237479609601638,0.5933,81.75,0.965,0.814,0.5623,80.71,0.964,0.807
28,0.23329588770866394,1.9321,57.54,0.87,0.579,1.7658,56.07,0.875,0.561
29,0.1779480979723089,0.6069,81.75,0.973,0.816,0.5442,81.79,0.98,0.815
30,0.15958743542432785,0.7006,82.14,0.972,0.814,0.6619,80.71,0.965,0.799
31,0.14961753851350615,0.4682,88.49,0.97,0.885,0.3628,86.79,0.979,0.867
32,0.14390089143725002,0.6058,81.75,0.969,0.819,0.5487,81.79,0.979,0.811
33,0.11810061686179217,0.3217,90.87,0.985,0.909,0.3521,87.5,0.981,0.875
34,0.12902461781221278,0.2804,91.67,0.99,0.916,0.2791,87.86,0.991,0.878
35,0.10215834506294307,0.4528,90.87,0.98,0.91,0.3052,88.93,0.988,0.889
36,0.06906131063314046,0.2474,91.67,0.99,0.916,0.2358,91.07,0.991,0.91
37,0.05227908185299705,0.3043,94.05,0.989,0.94,0.2305,92.86,0.99,0.928
38,0.05064453852965551,0.2235,92.46,0.991,0.925,0.1077,95.36,0.998,0.954
39,0.05008131051983904,0.2052,95.24,0.993,0.952,0.1439,95.0,0.996,0.95
40,0.02949441481819924,0.2005,95.63,0.993,0.957,0.1253,94.64,0.997,0.946
41,0.02845912119921516,0.1606,95.63,0.994,0.957,0.121,95.36,0.997,0.953
42,0.02338129605221398,0.1435,96.83,0.995,0.969,0.1136,96.07,0.998,0.961
43,0.023384449346100584,0.1339,96.43,0.995,0.964,0.0997,95.36,0.998,0.953
44,0.022356327020508403,0.1245,96.83,0.996,0.968,0.1137,96.43,0.998,0.964
45,0.019248279578545514,0.1333,97.22,0.996,0.972,0.1006,96.07,0.998,0.96
46,0.01781191665898351,0.1381,96.83,0.995,0.968,0.1045,96.79,0.998,0.968
47,0.01645475357551785,0.1344,96.43,0.995,0.964,0.1062,96.43,0.998,0.964
48,0.017213038333198604,0.1311,97.22,0.996,0.972,0.1094,96.43,0.998,0.964
49,0.016173468519221332,0.131,97.22,0.996,0.972,0.1077,96.43,0.998,0.964
