epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2891367743997013,1.3348,36.11,0.667,0.295,1.3338,31.79,0.682,0.256
1,1.2346643139334286,8.5955,38.1,0.648,0.284,10.2169,35.71,0.608,0.259
2,1.0723306466551388,11.8921,34.13,0.639,0.242,13.0177,34.64,0.612,0.251
3,3.8764283376581528,20776.5528,25.0,0.5,0.1,20499.6723,25.0,0.501,0.1
4,1.3155629985472734,303.4479,28.97,0.619,0.207,306.3864,30.71,0.609,0.223
5,1.318538504488328,1.4351,43.65,0.727,0.382,1.5992,41.43,0.696,0.365
6,1.1612994320252363,1.068,52.38,0.797,0.489,1.159,42.14,0.769,0.387
7,1.0744065326802872,0.9806,57.54,0.832,0.573,1.0416,51.43,0.795,0.505
8,1.0040100146742428,0.9241,62.3,0.861,0.606,0.9892,52.5,0.82,0.504
9,1.008662875960855,0.9437,60.32,0.849,0.595,1.0208,52.14,0.821,0.504
10,0.914771672557382,0.8765,58.73,0.871,0.585,1.0045,53.93,0.821,0.532
11,0.8485551546601688,0.6912,72.22,0.94,0.718,0.8152,62.14,0.89,0.623
12,0.814521891229293,0.6477,73.41,0.942,0.732,0.7743,63.57,0.905,0.632
13,0.7729280871503493,0.7577,67.46,0.912,0.672,0.8183,62.5,0.899,0.62
14,0.7825827528448666,0.632,70.63,0.937,0.703,0.801,68.57,0.897,0.679
15,0.7055405027726117,0.7616,67.46,0.916,0.665,0.9938,62.14,0.866,0.614
16,0.6431743152001325,0.49,81.35,0.968,0.811,0.5899,75.36,0.945,0.751
17,0.6548809724695542,0.9202,60.71,0.884,0.604,1.1031,57.14,0.85,0.57
18,0.5670455536421608,0.7357,66.67,0.922,0.668,0.9156,62.14,0.9,0.612
19,0.6103022606933818,0.8388,69.44,0.902,0.69,0.9749,64.64,0.885,0.633
20,0.5284609426470364,0.5473,78.17,0.947,0.784,0.7001,71.07,0.921,0.712
21,0.45813438471625834,0.4003,84.13,0.974,0.841,0.4703,81.07,0.97,0.805
22,0.41744369619032917,0.568,78.17,0.949,0.782,0.763,71.43,0.926,0.71
23,0.3946966967161964,0.5298,80.95,0.955,0.809,0.7599,76.07,0.928,0.76
24,0.3660348706385669,1.3529,59.92,0.865,0.588,1.3303,60.36,0.875,0.592
25,0.297375409042134,0.478,80.56,0.973,0.799,0.6125,79.64,0.964,0.791
26,0.2817353334497003,0.3082,91.27,0.984,0.913,0.3747,87.86,0.976,0.878
27,0.3247329750481774,1.0686,72.22,0.914,0.727,1.1116,68.57,0.9,0.688
28,0.3601682624396156,0.329,85.32,0.982,0.853,0.3925,85.36,0.973,0.853
29,0.3733820967814502,0.2699,89.29,0.99,0.893,0.3913,86.43,0.978,0.864
30,0.2862801481695736,0.3221,89.29,0.984,0.892,0.4504,81.79,0.97,0.816
31,0.251063313554315,0.181,94.05,0.995,0.94,0.2091,90.71,0.994,0.907
32,0.19263713938348434,0.4118,87.3,0.982,0.877,0.4886,83.21,0.977,0.837
33,0.2072928547859192,0.3054,87.3,0.987,0.871,0.3792,89.29,0.984,0.892
34,0.1690120504182928,0.1277,96.43,0.997,0.964,0.1442,94.64,0.997,0.947
35,0.14626712790306876,0.0955,96.43,0.998,0.964,0.127,95.71,0.997,0.957
36,0.14673155546188354,0.1059,96.43,0.998,0.964,0.1273,95.71,0.997,0.957
37,0.11696261474314858,0.0817,96.83,0.999,0.968,0.1103,96.07,0.998,0.961
38,0.139988008667441,0.1121,96.43,0.998,0.964,0.1171,95.71,0.998,0.957
39,0.10537148157463354,0.0802,98.41,0.998,0.984,0.1497,95.36,0.997,0.953
40,0.11194176456945784,0.146,94.84,0.998,0.949,0.191,91.07,0.995,0.913
41,0.08113088173901334,0.0878,97.62,0.998,0.976,0.1239,95.0,0.998,0.95
42,0.09439321870312971,0.0696,98.02,0.999,0.98,0.0674,97.14,0.999,0.971
43,0.10978542684632189,0.0633,98.02,0.999,0.98,0.0766,97.5,0.999,0.975
44,0.08107107855817851,0.0638,98.02,0.999,0.98,0.058,98.21,0.999,0.982
45,0.0795574119204984,0.0633,98.02,0.999,0.98,0.0515,98.57,1.0,0.986
46,0.10714969466276028,0.0573,98.02,0.999,0.98,0.0516,97.86,1.0,0.978
47,0.0791742958347587,0.0561,98.02,0.999,0.98,0.0493,97.86,1.0,0.978
48,0.08144515522700899,0.0556,98.02,0.999,0.98,0.0512,98.21,1.0,0.982
49,0.06078958182650454,0.0573,98.02,0.999,0.98,0.0509,98.21,1.0,0.982
