epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.224150799081317,0.9355,63.4,0.936,0.621,1.1478,63.02,0.888,0.535
1,0.4034483123530624,1.1677,65.91,0.981,0.605,1.8272,58.0,0.949,0.507
2,0.2245248931336574,0.3569,87.84,0.993,0.874,1.4803,62.11,0.911,0.549
3,0.16849358944642928,0.7455,79.64,0.985,0.793,1.6002,63.5,0.929,0.559
4,0.11743283908694022,0.1738,94.09,0.998,0.941,1.0088,74.14,0.951,0.698
5,0.10093675324139202,0.14,95.48,0.998,0.954,0.5515,86.96,0.951,0.809
6,0.08529575556970626,0.263,90.65,0.996,0.906,0.6053,82.59,0.963,0.759
7,0.07729931343947688,0.0913,97.04,0.999,0.97,0.7446,85.03,0.948,0.791
8,0.06932904087274092,0.3988,88.49,0.994,0.884,1.4246,79.92,0.916,0.723
9,0.06353924868087615,0.097,96.76,0.999,0.966,0.8352,82.7,0.949,0.795
10,0.054011337595948394,0.2008,93.66,0.998,0.937,0.7842,86.01,0.94,0.8
11,0.054015177695955215,0.092,97.05,0.999,0.971,0.8267,82.18,0.935,0.771
12,0.051581381906932185,0.1011,96.98,0.999,0.97,1.2296,77.6,0.929,0.74
13,0.04406316872472511,0.0866,97.2,0.999,0.971,1.0119,81.95,0.932,0.769
14,0.043986690260710254,0.0667,97.76,1.0,0.977,0.9195,83.83,0.931,0.802
15,0.039288151944156295,0.0586,98.13,1.0,0.981,0.8299,85.79,0.929,0.804
16,0.038156589431401114,0.0709,97.87,1.0,0.978,0.7898,84.8,0.95,0.788
17,0.03412952310969806,0.0816,97.43,0.999,0.973,1.2576,79.41,0.923,0.738
18,0.03434413580197213,0.216,93.53,0.997,0.937,1.2036,78.05,0.906,0.699
19,0.031054894251274914,0.0523,98.34,1.0,0.983,1.019,86.15,0.924,0.809
20,0.03043509634732399,0.0854,97.32,0.999,0.973,1.237,78.1,0.918,0.739
21,0.026970116506701194,0.0491,98.59,1.0,0.986,1.0456,84.58,0.932,0.787
22,0.024497109241650095,0.0408,98.62,1.0,0.986,1.0328,84.75,0.933,0.792
23,0.020920559807303344,0.0418,98.72,1.0,0.987,1.1583,83.72,0.927,0.776
24,0.021030834730794673,0.0643,98.17,1.0,0.982,1.1001,81.37,0.928,0.757
25,0.02017239727560551,0.0565,98.24,1.0,0.982,1.1729,81.26,0.918,0.77
26,0.016843914833774384,0.0415,98.7,1.0,0.987,1.2218,84.89,0.92,0.81
27,0.015057454112663491,0.0423,98.65,1.0,0.986,1.22,84.09,0.923,0.781
28,0.013237858700188792,0.0415,98.67,1.0,0.987,1.1048,86.09,0.933,0.804
29,0.01216037865013792,0.0406,98.77,1.0,0.987,1.301,79.85,0.927,0.744
30,0.010565135571237746,0.043,98.75,1.0,0.987,1.3059,84.89,0.925,0.804
31,0.009711401730669015,0.0485,98.73,1.0,0.987,1.1682,84.43,0.929,0.803
32,0.007739329216567846,0.0349,98.96,1.0,0.989,1.4044,79.93,0.917,0.76
33,0.0051599571908620525,0.0325,99.14,1.0,0.991,1.2662,83.98,0.923,0.791
34,0.005472840479237952,0.0274,99.22,1.0,0.992,1.0749,84.37,0.934,0.791
35,0.0037624490393933217,0.0275,99.24,1.0,0.992,1.3961,78.32,0.918,0.736
36,0.003266329332972513,0.028,99.21,1.0,0.992,1.261,83.99,0.921,0.794
37,0.0022586578499913003,0.0256,99.25,1.0,0.992,1.202,82.4,0.927,0.774
38,0.002100053647245985,0.0255,99.29,1.0,0.993,1.1879,83.79,0.929,0.79
39,0.00145473687886177,0.025,99.32,1.0,0.993,1.2546,83.42,0.924,0.791
40,0.0013834116629935721,0.0256,99.33,1.0,0.993,1.2012,83.26,0.93,0.785
41,0.0011355182436364954,0.0251,99.3,1.0,0.993,1.2205,83.25,0.927,0.788
42,0.0010872426739890516,0.0239,99.31,1.0,0.993,1.2653,81.2,0.927,0.77
43,0.0008944185370559334,0.0242,99.35,1.0,0.993,1.2427,82.16,0.928,0.776
44,0.0008288656585052022,0.0241,99.36,1.0,0.993,1.2189,83.09,0.929,0.786
45,0.000777977807480695,0.0242,99.37,1.0,0.994,1.2341,82.71,0.929,0.782
46,0.0008563935943615479,0.0246,99.37,1.0,0.993,1.2298,82.46,0.929,0.777
47,0.0009192601547286075,0.0242,99.35,1.0,0.993,1.2249,81.88,0.93,0.772
48,0.0008242799847062984,0.0241,99.36,1.0,0.993,1.2475,82.0,0.929,0.775
49,0.0008045152550743472,0.0244,99.35,1.0,0.993,1.2695,81.64,0.927,0.772
