epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2108545835300157,0.89,65.74,0.938,0.644,1.0822,64.1,0.893,0.556
1,0.41129599826737545,0.3709,87.3,0.991,0.87,1.1558,64.87,0.921,0.597
2,0.22718028555954656,0.557,82.55,0.988,0.826,0.9752,78.24,0.934,0.713
3,0.162019428787052,1.3901,68.17,0.947,0.69,2.3606,46.72,0.824,0.398
4,0.12356917777742964,0.9903,73.14,0.982,0.745,3.3979,48.44,0.838,0.414
5,0.09786880571782375,0.2495,92.02,0.997,0.918,0.7524,83.47,0.943,0.756
6,0.08268367388956649,0.1355,95.4,0.999,0.953,0.7935,77.98,0.952,0.728
7,0.07519200235925695,0.3014,90.89,0.993,0.907,0.8263,82.76,0.947,0.773
8,0.06992678296181463,0.0955,97.0,0.999,0.97,1.15,78.53,0.944,0.713
9,0.061081202039795536,0.1048,96.7,0.999,0.968,0.9382,80.71,0.943,0.746
10,0.057876291374365486,0.0783,97.49,0.999,0.974,0.6552,86.72,0.967,0.818
11,0.055014956195081004,0.1082,96.18,0.999,0.962,0.7545,86.79,0.944,0.817
12,0.050060410810280655,0.0861,97.22,0.999,0.972,0.8143,86.47,0.947,0.813
13,0.046147162558704505,0.0806,97.44,0.999,0.974,1.0145,79.07,0.931,0.747
14,0.042829495969839315,0.0972,97.04,0.999,0.97,1.0813,75.84,0.937,0.73
15,0.04120540244197707,0.0726,97.55,1.0,0.975,0.9406,83.45,0.932,0.793
16,0.03793746802795638,0.0754,97.59,0.999,0.976,1.0268,81.95,0.923,0.77
17,0.035407157773385656,0.0818,97.28,1.0,0.973,0.9773,82.46,0.932,0.77
18,0.0337405105315042,0.1304,95.9,0.998,0.955,1.0449,74.19,0.95,0.692
19,0.033420919243740355,0.0652,97.88,1.0,0.978,0.8318,81.42,0.956,0.759
20,0.030037361165461896,0.0622,97.97,1.0,0.979,1.0387,80.17,0.93,0.761
21,0.027716656636086204,0.0561,98.29,1.0,0.983,1.2073,78.95,0.922,0.734
22,0.02533355436544852,0.0516,98.51,1.0,0.985,0.9715,83.49,0.944,0.775
23,0.02318880965225532,0.0479,98.54,1.0,0.985,0.844,85.18,0.946,0.795
24,0.0218540483177723,0.1424,95.56,0.999,0.955,1.1051,83.42,0.927,0.785
25,0.019654640206886877,0.0552,98.31,1.0,0.983,0.9065,80.93,0.949,0.766
26,0.01676850705190585,0.0394,98.86,1.0,0.988,1.2255,77.68,0.929,0.727
27,0.014710902753803465,0.0448,98.74,1.0,0.987,1.2209,86.23,0.922,0.82
28,0.013729709036995432,0.04,98.79,1.0,0.988,1.2801,81.47,0.925,0.762
29,0.010834103612075676,0.0328,99.11,1.0,0.991,1.389,81.43,0.932,0.756
30,0.011509541347022019,0.0312,99.11,1.0,0.991,1.3548,82.08,0.924,0.778
31,0.00954789285945262,0.0449,98.7,1.0,0.987,1.8372,69.64,0.914,0.664
32,0.008015398181454149,0.0396,98.88,1.0,0.989,1.4198,77.2,0.929,0.73
33,0.006798634415752785,0.0353,99.07,1.0,0.99,1.8446,69.88,0.922,0.669
34,0.005968382288317954,0.0313,99.08,1.0,0.991,1.375,72.5,0.93,0.693
35,0.004446472408496991,0.0275,99.25,1.0,0.992,1.5929,74.49,0.917,0.702
36,0.003582822105523506,0.0255,99.28,1.0,0.993,1.411,76.87,0.924,0.73
37,0.002412350304211126,0.0227,99.38,1.0,0.994,1.4426,78.26,0.924,0.743
38,0.0025167640842710987,0.0264,99.32,1.0,0.993,1.4858,75.21,0.925,0.712
39,0.0014479658983674528,0.0227,99.41,1.0,0.994,1.4472,77.33,0.922,0.733
40,0.0014388029927581442,0.0218,99.43,1.0,0.994,1.4251,77.19,0.926,0.727
41,0.0011564016285415832,0.0228,99.4,1.0,0.994,1.5012,74.83,0.923,0.709
42,0.0011101000855499913,0.0219,99.41,1.0,0.994,1.5353,74.01,0.922,0.702
43,0.0010394803465320645,0.0222,99.4,1.0,0.994,1.5275,75.24,0.921,0.715
44,0.0009073354253765716,0.0221,99.44,1.0,0.994,1.4463,77.2,0.925,0.733
45,0.0008167074041901737,0.0224,99.41,1.0,0.994,1.5048,76.27,0.924,0.725
46,0.0008945082995279502,0.0226,99.42,1.0,0.994,1.48,76.63,0.925,0.727
47,0.0008769627947587266,0.0219,99.4,1.0,0.994,1.4657,76.19,0.925,0.723
48,0.0008424880487116648,0.022,99.41,1.0,0.994,1.5215,75.64,0.923,0.719
49,0.0008533444626116624,0.0225,99.4,1.0,0.994,1.5624,75.01,0.922,0.713
