epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.1870256113322406,0.8294,70.54,0.947,0.694,1.19,60.64,0.878,0.537
1,0.44895439132994647,2.2193,48.37,0.935,0.458,3.257,39.39,0.841,0.312
2,0.2352535513673632,0.8445,73.69,0.966,0.739,1.1804,66.28,0.93,0.596
3,0.1735825538635254,1.6284,58.46,0.954,0.584,2.6769,45.66,0.779,0.358
4,0.12356313886821911,0.4866,84.63,0.991,0.852,1.6042,62.47,0.902,0.561
5,0.10642948294038414,0.1201,96.14,0.999,0.961,0.599,83.91,0.956,0.788
6,0.0845283847235437,0.1093,96.39,0.999,0.964,0.6567,83.64,0.956,0.793
7,0.07883078097549391,0.1655,94.54,0.998,0.945,1.7617,67.0,0.898,0.614
8,0.06964167536613548,0.1017,96.68,0.999,0.966,0.5224,85.74,0.971,0.798
9,0.06432631956313246,0.225,92.23,0.998,0.925,0.7294,81.23,0.965,0.754
10,0.056481579558983926,0.1156,96.31,0.999,0.963,0.8758,82.18,0.948,0.763
11,0.056569610064762466,0.2559,93.49,0.996,0.934,1.2558,79.63,0.912,0.74
12,0.05288721668770984,0.0829,97.34,0.999,0.973,0.7182,85.18,0.962,0.813
13,0.045685888782116886,0.0804,97.42,0.999,0.974,1.0633,81.5,0.921,0.771
14,0.04264388638498482,0.1277,95.77,0.999,0.958,1.2407,75.72,0.93,0.729
15,0.0407603749033985,0.0554,98.18,1.0,0.981,0.9338,84.16,0.931,0.801
16,0.040354446392826815,0.1549,94.88,0.999,0.95,1.0291,80.11,0.936,0.747
17,0.03466415974748818,0.1699,94.37,0.999,0.945,1.2696,72.07,0.934,0.669
18,0.034106271640200664,0.1541,95.43,0.998,0.954,1.286,76.51,0.937,0.699
19,0.033852122874269565,0.0922,97.11,0.999,0.971,0.9724,86.77,0.928,0.817
20,0.03129239065913103,0.1125,96.8,0.999,0.968,1.0909,82.1,0.921,0.78
21,0.02803787378941439,0.0558,98.14,1.0,0.981,1.0401,87.42,0.927,0.832
22,0.026721270729897804,0.0558,98.28,1.0,0.983,0.9706,83.45,0.94,0.779
23,0.02203188896492978,0.0446,98.63,1.0,0.986,1.1022,81.86,0.94,0.763
24,0.02089195994920628,0.0577,98.1,1.0,0.98,1.1744,82.29,0.919,0.776
25,0.0191848351316373,0.0435,98.65,1.0,0.986,1.0256,83.9,0.94,0.809
26,0.016707781248302016,0.0757,97.75,1.0,0.977,1.4002,73.19,0.926,0.692
27,0.015390599325072274,0.0446,98.63,1.0,0.986,0.9931,84.97,0.945,0.804
28,0.012439940949254352,0.036,99.0,1.0,0.99,1.3056,82.71,0.925,0.773
29,0.011254874029694172,0.0443,98.79,1.0,0.988,1.4257,79.7,0.925,0.75
30,0.009777523266772429,0.0614,98.28,1.0,0.982,1.6581,75.88,0.918,0.718
31,0.008357495409987306,0.0384,98.84,1.0,0.988,1.3955,82.76,0.917,0.79
32,0.0070869591567785505,0.0413,98.79,1.0,0.988,1.3105,80.82,0.925,0.768
33,0.004266619461999145,0.038,98.99,1.0,0.99,1.5212,78.64,0.922,0.725
34,0.005187410160258252,0.0288,99.13,1.0,0.991,1.1766,82.89,0.938,0.793
35,0.0031438309859524493,0.0292,99.19,1.0,0.992,1.3358,81.97,0.928,0.777
36,0.0024508052609033054,0.0273,99.26,1.0,0.992,1.2809,81.97,0.929,0.778
37,0.002346253461508234,0.0285,99.17,1.0,0.991,1.3922,80.79,0.927,0.766
38,0.00179185961810438,0.0302,99.21,1.0,0.992,1.267,82.73,0.932,0.785
39,0.00139871894592239,0.0275,99.19,1.0,0.992,1.4426,81.26,0.924,0.772
40,0.001170848272607318,0.0273,99.26,1.0,0.992,1.438,80.31,0.928,0.756
41,0.001018193411877826,0.0265,99.27,1.0,0.992,1.3898,81.43,0.925,0.77
42,0.0010133518530289546,0.0266,99.31,1.0,0.993,1.4144,81.1,0.925,0.766
43,0.0008566222357226529,0.0263,99.3,1.0,0.993,1.3889,81.67,0.928,0.772
44,0.0008113658185847985,0.0264,99.26,1.0,0.992,1.3823,81.81,0.928,0.776
45,0.0007284724814516883,0.0271,99.27,1.0,0.993,1.4081,81.64,0.927,0.774
46,0.000863400002520892,0.027,99.29,1.0,0.993,1.3994,81.32,0.929,0.769
47,0.0007906667120407559,0.0265,99.3,1.0,0.993,1.4025,80.9,0.929,0.765
48,0.0006706737128743988,0.0264,99.29,1.0,0.993,1.454,80.57,0.927,0.762
49,0.0006955276780818525,0.0268,99.28,1.0,0.993,1.4835,80.06,0.926,0.758
