epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.180927249265828,0.8879,66.99,0.942,0.653,1.2658,58.24,0.871,0.489
1,0.44847921113814077,1.0656,65.65,0.965,0.651,1.5189,50.73,0.905,0.466
2,0.24994255065597515,1.7158,62.83,0.934,0.637,1.8237,57.83,0.87,0.52
3,0.1827965733932338,0.1999,93.59,0.997,0.935,0.8288,81.72,0.96,0.758
4,0.13681684017822307,0.4426,86.13,0.993,0.869,1.4418,67.63,0.942,0.615
5,0.10834883882473874,0.2079,92.89,0.997,0.93,0.4562,86.69,0.972,0.806
6,0.09219655065420067,0.1045,96.59,0.999,0.965,0.4902,85.63,0.979,0.798
7,0.08710978140113174,0.1204,96.11,0.999,0.961,0.4356,86.56,0.984,0.823
8,0.07407977799868284,0.2504,93.03,0.997,0.927,0.6214,84.92,0.975,0.794
9,0.07032941729764998,0.0813,97.34,0.999,0.973,0.4653,88.35,0.979,0.836
10,0.061718037111624595,0.0965,97.1,0.999,0.971,0.7066,87.24,0.965,0.824
11,0.06415869493211042,0.1501,95.35,0.998,0.953,0.5558,86.34,0.973,0.806
12,0.055263436309272246,0.0643,97.96,0.999,0.979,0.4795,87.05,0.982,0.835
13,0.05057103058663748,0.1303,95.97,0.999,0.959,1.078,85.63,0.962,0.788
14,0.04598693651444275,0.1104,96.46,0.999,0.965,0.7588,81.72,0.966,0.769
15,0.044746652539272035,0.1099,96.58,0.999,0.966,0.5087,86.08,0.982,0.819
16,0.04318330364675665,0.2017,93.36,0.998,0.935,0.7969,81.48,0.968,0.75
17,0.03930164612896447,0.0842,97.28,0.999,0.973,0.4179,89.66,0.983,0.852
18,0.038302050598005774,0.0905,97.29,0.999,0.971,0.4776,88.38,0.982,0.844
19,0.037653728685338436,0.0765,97.72,0.999,0.977,0.5226,85.46,0.977,0.815
20,0.03322872506307712,0.0891,97.62,0.999,0.976,0.5281,88.51,0.982,0.828
21,0.030414416040811274,0.078,97.7,1.0,0.976,0.6885,88.74,0.969,0.843
22,0.027773543361133787,0.0579,98.16,1.0,0.981,0.5302,90.02,0.978,0.85
23,0.025257675262588646,0.1011,96.95,0.999,0.968,0.4709,89.91,0.987,0.839
24,0.022348473941753735,0.0491,98.57,1.0,0.986,0.568,89.97,0.98,0.844
25,0.023165370052259777,0.0523,98.42,1.0,0.984,0.5665,87.91,0.983,0.836
26,0.019878992096497593,0.1087,96.89,0.999,0.97,0.9737,83.01,0.964,0.771
27,0.018133267905483003,0.0683,97.91,1.0,0.979,0.7293,88.89,0.969,0.832
28,0.015360363315136629,0.0622,98.24,1.0,0.982,0.6881,85.32,0.978,0.788
29,0.014458155119290916,0.0486,98.55,1.0,0.985,0.6257,86.0,0.979,0.806
30,0.012085583728594591,0.0519,98.67,1.0,0.987,0.6014,87.69,0.986,0.826
31,0.010617104797927816,0.0586,98.34,1.0,0.983,0.6629,87.2,0.984,0.823
32,0.009509999501956194,0.0397,98.81,1.0,0.988,0.5733,88.24,0.982,0.829
33,0.006552026086356691,0.0409,98.95,1.0,0.989,0.7338,85.48,0.981,0.807
34,0.005716275280228012,0.0397,98.96,1.0,0.989,0.5143,89.31,0.985,0.844
35,0.004632885461025554,0.0384,99.0,1.0,0.99,0.6146,87.16,0.983,0.819
36,0.003167412649359434,0.038,99.03,1.0,0.99,0.6739,86.79,0.98,0.808
37,0.0030345947792132697,0.0379,99.07,1.0,0.991,0.5008,89.44,0.985,0.848
38,0.0024239730430386398,0.0363,99.09,1.0,0.991,0.545,88.21,0.985,0.832
39,0.0019556352181032996,0.0351,99.12,1.0,0.991,0.5228,89.11,0.986,0.842
40,0.0017997034154431794,0.0342,99.14,1.0,0.991,0.5045,89.22,0.986,0.842
41,0.0015464353568745129,0.0343,99.16,1.0,0.991,0.5667,88.27,0.984,0.833
42,0.0013752368255434925,0.0338,99.18,1.0,0.992,0.5538,88.51,0.985,0.833
43,0.0012593409180053673,0.034,99.19,1.0,0.992,0.5813,88.13,0.984,0.83
44,0.0010583790796925732,0.0339,99.19,1.0,0.992,0.5788,88.14,0.984,0.83
45,0.0010081476558627407,0.0345,99.18,1.0,0.992,0.5785,88.22,0.984,0.831
46,0.0010227960414223134,0.0345,99.19,1.0,0.992,0.5706,88.44,0.984,0.835
47,0.0010710147870404104,0.0343,99.17,1.0,0.992,0.5735,88.1,0.984,0.831
48,0.001034417323180638,0.034,99.16,1.0,0.991,0.5919,87.94,0.984,0.83
49,0.0009416936125646356,0.0344,99.19,1.0,0.992,0.5948,88.03,0.984,0.83
