epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.214918696324885,0.8888,65.94,0.938,0.648,1.1147,63.66,0.89,0.553
1,0.46366507343707547,0.5963,78.8,0.982,0.781,0.9114,68.14,0.96,0.616
2,0.25417179307202714,0.628,79.78,0.981,0.784,1.0282,66.78,0.929,0.611
3,0.18447524741772683,0.5544,81.86,0.986,0.807,0.8556,73.48,0.95,0.668
4,0.1383933421878618,0.2456,91.7,0.997,0.92,0.9149,74.8,0.964,0.717
5,0.11483126651749388,0.2705,90.72,0.996,0.907,0.4767,84.92,0.984,0.788
6,0.09558231595863578,0.1971,93.44,0.997,0.932,0.586,82.95,0.973,0.777
7,0.088504975508084,0.1191,96.1,0.999,0.96,0.5136,85.63,0.977,0.799
8,0.07690009213049352,0.1666,94.69,0.998,0.944,0.7568,81.97,0.97,0.751
9,0.07320862810217565,0.4221,88.1,0.99,0.879,1.7278,64.08,0.917,0.611
10,0.06556011181938926,0.2908,91.71,0.997,0.918,0.9533,79.11,0.951,0.721
11,0.0653504405477782,0.0876,97.14,0.999,0.971,0.4109,87.61,0.986,0.831
12,0.057186282543619044,0.0732,97.73,0.999,0.977,0.7031,85.59,0.957,0.802
13,0.05037565606122162,0.1214,95.99,0.999,0.958,0.7463,82.07,0.973,0.779
14,0.049546033431071536,0.0639,97.91,1.0,0.979,0.5876,85.43,0.973,0.82
15,0.047062302821092174,0.1118,96.13,0.999,0.961,0.6662,88.0,0.958,0.806
16,0.041592110702801346,0.2131,93.13,0.998,0.934,0.8508,85.89,0.946,0.794
17,0.03954623366529155,0.0901,97.23,0.999,0.972,0.4864,88.57,0.982,0.832
18,0.037718225056873,0.0702,97.77,1.0,0.977,0.8674,84.94,0.95,0.78
19,0.03511438965563759,0.0863,97.27,0.999,0.973,0.7471,84.62,0.958,0.793
20,0.033399668305204334,0.169,95.41,0.999,0.953,0.8745,85.98,0.956,0.804
21,0.0319910348029173,0.082,97.4,0.999,0.973,0.8368,85.82,0.948,0.795
22,0.02856719249352065,0.0497,98.5,1.0,0.985,0.6862,87.99,0.971,0.821
23,0.025730222044679535,0.0586,98.17,1.0,0.982,0.6851,85.43,0.969,0.798
24,0.02189016863403301,0.0473,98.51,1.0,0.985,0.7185,87.87,0.968,0.825
25,0.023514166242346222,0.0661,97.99,1.0,0.98,0.7257,89.36,0.957,0.842
26,0.01865492860609699,0.0535,98.32,1.0,0.983,0.7626,87.67,0.959,0.833
27,0.01741344463847925,0.0501,98.59,1.0,0.986,0.6198,89.09,0.973,0.831
28,0.014934673890351288,0.0431,98.66,1.0,0.986,0.6496,88.74,0.974,0.826
29,0.013830273804391691,0.0477,98.63,1.0,0.986,0.6679,88.06,0.975,0.832
30,0.012718544715488042,0.0426,98.78,1.0,0.988,0.6223,89.77,0.972,0.848
31,0.009658886695541042,0.0533,98.56,1.0,0.985,0.6186,88.02,0.976,0.826
32,0.007567253596346331,0.0597,98.46,1.0,0.985,0.6769,86.45,0.977,0.814
33,0.006339494918396289,0.0369,98.94,1.0,0.989,0.8984,86.36,0.957,0.802
34,0.006441292186070728,0.0359,98.99,1.0,0.99,0.5799,89.61,0.981,0.847
35,0.0045598532677391095,0.0379,98.97,1.0,0.989,0.8452,85.48,0.971,0.794
36,0.004199964481682974,0.033,99.09,1.0,0.991,0.8427,88.73,0.962,0.836
37,0.0027957141222465635,0.0309,99.11,1.0,0.991,0.7896,89.85,0.965,0.845
38,0.0025564987032163527,0.029,99.13,1.0,0.991,0.7461,89.82,0.971,0.85
39,0.0018547441089345562,0.0293,99.17,1.0,0.992,0.7073,89.5,0.972,0.846
40,0.001652501909042238,0.0289,99.25,1.0,0.992,0.6896,89.19,0.976,0.839
41,0.001393612066958113,0.0292,99.18,1.0,0.992,0.6976,89.04,0.975,0.839
42,0.0013015961097586754,0.0286,99.25,1.0,0.992,0.7156,89.22,0.974,0.84
43,0.0011627420876508972,0.0284,99.27,1.0,0.993,0.7207,89.3,0.974,0.845
44,0.000984103101769656,0.0285,99.22,1.0,0.992,0.7336,89.37,0.973,0.846
45,0.0008604642350934312,0.0291,99.21,1.0,0.992,0.7234,89.44,0.974,0.846
46,0.0009467240646615037,0.0286,99.24,1.0,0.992,0.7412,89.37,0.972,0.844
47,0.0010045245072827758,0.0283,99.23,1.0,0.992,0.7174,89.22,0.974,0.841
48,0.0010002607790132363,0.028,99.23,1.0,0.992,0.7398,89.04,0.973,0.84
49,0.0009247971144521536,0.0284,99.23,1.0,0.992,0.7429,88.95,0.973,0.84
