epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.1680998774412286,0.7121,72.98,0.958,0.711,1.0866,62.74,0.873,0.569
1,0.39321375261711816,1.3202,65.12,0.976,0.625,3.0039,41.85,0.901,0.307
2,0.2036710080280099,0.2189,92.51,0.996,0.926,0.7854,80.83,0.968,0.727
3,0.15306720847938224,0.2332,91.86,0.997,0.916,0.7114,75.59,0.985,0.75
4,0.11444098853562895,0.1967,93.56,0.998,0.934,1.2128,69.8,0.957,0.693
5,0.09880694652169836,0.1416,95.35,0.998,0.954,0.6011,80.06,0.972,0.763
6,0.07773880934255951,0.1099,96.45,0.999,0.964,1.4468,68.87,0.941,0.612
7,0.07340323635941125,0.1813,94.17,0.998,0.939,1.6011,64.54,0.962,0.588
8,0.06154631785247275,0.0986,96.84,0.999,0.967,1.3219,73.29,0.953,0.675
9,0.05669279516704621,0.0874,97.06,0.999,0.97,1.3164,67.84,0.944,0.621
10,0.05029661318547623,0.0799,97.4,0.999,0.974,0.5708,84.2,0.98,0.811
11,0.050950801090127035,0.104,96.53,0.999,0.965,1.3546,68.44,0.939,0.643
12,0.04619513184005748,0.0767,97.8,0.999,0.978,1.054,75.09,0.962,0.704
13,0.04575056156083461,0.0743,97.62,1.0,0.976,0.9525,75.7,0.961,0.707
14,0.038437033951696425,0.0713,97.75,0.999,0.977,1.1887,72.83,0.933,0.683
15,0.03878506062565685,0.1154,96.57,0.999,0.966,1.5614,74.09,0.932,0.665
16,0.03450020569239787,0.0877,97.26,1.0,0.972,1.6492,72.13,0.927,0.644
17,0.03143777604979266,0.0803,97.38,1.0,0.973,1.4109,70.93,0.945,0.641
18,0.02970232684866235,0.156,95.28,0.999,0.952,2.4528,53.02,0.908,0.457
19,0.030600241829364102,0.06,98.19,1.0,0.981,2.4902,62.35,0.902,0.55
20,0.02678522182374819,0.0582,98.43,1.0,0.984,1.809,64.16,0.927,0.571
21,0.026426774506393726,0.0427,98.7,1.0,0.987,1.4077,65.93,0.941,0.586
22,0.02075142257990429,0.0587,98.04,1.0,0.979,1.919,58.56,0.929,0.525
23,0.02011684897292312,0.042,98.67,1.0,0.986,1.6123,66.62,0.928,0.614
24,0.017006048455327,0.0731,98.08,1.0,0.981,2.5318,60.15,0.91,0.52
25,0.01790296077714919,0.0384,98.84,1.0,0.988,1.3977,73.62,0.941,0.673
26,0.014531956416451268,0.0438,98.71,1.0,0.987,1.4571,68.57,0.943,0.654
27,0.01267082751711904,0.0491,98.55,1.0,0.985,2.204,66.56,0.926,0.567
28,0.012641466830232878,0.035,98.97,1.0,0.989,1.9749,62.08,0.94,0.571
29,0.010668288101859418,0.035,99.05,1.0,0.99,1.9066,70.07,0.934,0.617
30,0.008668422241658506,0.0299,99.14,1.0,0.991,1.8324,69.42,0.93,0.608
31,0.00668161950244378,0.0364,99.0,1.0,0.99,1.9483,67.81,0.926,0.586
32,0.005832283408798304,0.0421,98.83,1.0,0.988,2.5863,57.04,0.914,0.513
33,0.005177732542037002,0.0301,99.18,1.0,0.992,1.8504,66.88,0.935,0.603
34,0.003691756236617283,0.0278,99.27,1.0,0.993,2.3615,64.57,0.91,0.56
35,0.0032174103663012545,0.0317,99.23,1.0,0.992,2.4851,61.57,0.921,0.543
36,0.002502818887312246,0.0273,99.31,1.0,0.993,2.3944,60.99,0.919,0.542
37,0.0016565065159993145,0.025,99.33,1.0,0.993,2.2733,62.3,0.926,0.555
38,0.0014493722438571914,0.0264,99.33,1.0,0.993,2.0005,65.28,0.937,0.586
39,0.0011048383016045802,0.025,99.33,1.0,0.993,2.1208,63.48,0.929,0.571
40,0.0010322643774411371,0.0255,99.35,1.0,0.993,2.3145,65.2,0.921,0.571
41,0.0009770665307759598,0.0244,99.4,1.0,0.994,2.2155,64.48,0.93,0.571
42,0.0009042827619446649,0.0244,99.36,1.0,0.993,2.4187,63.26,0.923,0.555
43,0.00076443795448563,0.0244,99.36,1.0,0.993,2.284,64.15,0.927,0.565
44,0.0007203675499419585,0.0243,99.38,1.0,0.994,2.1276,65.12,0.93,0.575
45,0.0005816419835880025,0.0247,99.38,1.0,0.994,2.2491,64.05,0.928,0.564
46,0.0006986180317044044,0.0243,99.38,1.0,0.994,2.2619,64.71,0.926,0.568
47,0.0006370811329279963,0.0241,99.38,1.0,0.994,2.4035,63.47,0.92,0.556
48,0.0006900529267006023,0.0242,99.38,1.0,0.994,2.4211,63.17,0.92,0.553
49,0.0006629097639285963,0.0245,99.39,1.0,0.994,2.3972,63.53,0.922,0.557
