epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.1552253156152676,0.649,76.4,0.965,0.747,1.0068,66.44,0.92,0.618
1,0.3442543545824652,0.994,73.57,0.967,0.727,1.3985,60.04,0.919,0.514
2,0.2185699445959915,0.4454,86.35,0.99,0.854,0.8878,73.03,0.953,0.637
3,0.1500520665852827,0.1645,94.65,0.998,0.946,0.5958,82.96,0.962,0.789
4,0.10658643474154789,0.136,95.39,0.998,0.954,0.5821,82.38,0.967,0.778
5,0.09231639873089542,0.226,92.85,0.997,0.926,0.9253,80.66,0.942,0.753
6,0.07604739816999563,0.1036,96.46,0.999,0.963,1.1268,70.73,0.934,0.677
7,0.06667295085286261,0.1325,95.39,0.999,0.953,0.541,87.76,0.972,0.832
8,0.05641414430393006,0.0623,97.94,1.0,0.979,0.9156,78.77,0.951,0.735
9,0.057469349134192674,0.0687,97.74,0.999,0.976,0.8322,82.71,0.936,0.773
10,0.049397241901673085,0.1272,95.95,0.999,0.959,0.8907,82.81,0.942,0.785
11,0.04554946165645368,0.2009,93.28,0.997,0.933,1.6408,65.31,0.927,0.612
12,0.04596276524873938,0.1926,93.83,0.998,0.939,1.0752,75.06,0.934,0.696
13,0.04212399623039643,0.0541,98.37,1.0,0.983,0.9488,78.65,0.936,0.731
14,0.03552456853383865,0.1265,96.08,0.999,0.958,1.0306,75.77,0.957,0.713
15,0.034980104201369815,0.0575,98.09,1.0,0.98,0.9581,80.31,0.931,0.745
16,0.03211558959864107,0.1508,95.78,0.999,0.958,1.0235,82.76,0.966,0.769
17,0.02772766802673592,0.0893,97.09,0.999,0.97,0.9316,83.15,0.959,0.777
18,0.028761103754282317,0.1255,96.26,0.999,0.961,0.8848,84.1,0.966,0.79
19,0.025617093061460816,0.0566,98.22,1.0,0.982,0.845,83.22,0.952,0.78
20,0.025495830255704115,0.051,98.32,1.0,0.983,1.1057,82.19,0.948,0.753
21,0.024031564331276335,0.0697,97.9,1.0,0.978,0.8431,86.26,0.953,0.802
22,0.019851383579541065,0.061,97.93,1.0,0.979,1.3153,77.25,0.929,0.705
23,0.019339935540298406,0.07,97.69,1.0,0.976,0.9254,82.68,0.957,0.76
24,0.016752408189852606,0.0702,97.88,1.0,0.978,1.5027,76.57,0.931,0.69
25,0.015296474202639528,0.0454,98.58,1.0,0.986,0.7392,86.93,0.955,0.822
26,0.014619306055328218,0.0653,97.99,1.0,0.98,1.1696,81.42,0.948,0.751
27,0.011959457302659644,0.039,98.86,1.0,0.988,0.96,86.22,0.949,0.805
28,0.010658103707296553,0.0342,99.04,1.0,0.99,1.0805,83.31,0.952,0.777
29,0.009408883586873076,0.0462,98.52,1.0,0.985,1.0463,80.06,0.954,0.741
30,0.007817313968000339,0.0305,99.15,1.0,0.991,0.8476,86.45,0.961,0.812
31,0.006406496253906078,0.0317,99.04,1.0,0.99,0.9016,85.49,0.958,0.8
32,0.004931094420332742,0.0311,99.09,1.0,0.991,0.9947,84.8,0.954,0.794
33,0.004280764439333511,0.0269,99.25,1.0,0.992,0.9014,86.5,0.958,0.811
34,0.003331999147584575,0.0344,99.03,1.0,0.99,0.9771,83.34,0.953,0.779
35,0.0022742920338199558,0.026,99.27,1.0,0.992,1.0061,84.59,0.955,0.787
36,0.0020063141925013407,0.0269,99.28,1.0,0.993,1.0362,83.19,0.947,0.784
37,0.0015117014127392922,0.0229,99.38,1.0,0.994,0.9708,84.91,0.957,0.792
38,0.0010469706235019538,0.023,99.38,1.0,0.994,0.9651,84.78,0.953,0.792
39,0.0009508712440862664,0.0231,99.38,1.0,0.994,1.0068,83.98,0.955,0.784
40,0.0010573816415603444,0.0238,99.35,1.0,0.993,1.0551,83.0,0.954,0.77
41,0.0007640566262933943,0.0226,99.38,1.0,0.994,1.015,83.94,0.953,0.782
42,0.00070218888268302,0.0226,99.41,1.0,0.994,1.0109,83.63,0.952,0.781
43,0.0007671406192164268,0.0231,99.4,1.0,0.994,1.0027,83.83,0.954,0.782
44,0.0006141089250109956,0.0231,99.41,1.0,0.994,1.0286,83.39,0.954,0.777
45,0.0005987807657689818,0.0222,99.44,1.0,0.994,1.0,84.05,0.954,0.784
46,0.0004974941983418439,0.0224,99.41,1.0,0.994,0.9926,83.98,0.954,0.783
47,0.0005169878880690289,0.0225,99.44,1.0,0.994,0.9899,84.05,0.954,0.784
48,0.0006341803952464066,0.0223,99.42,1.0,0.994,0.9868,84.35,0.955,0.787
49,0.000531893231869278,0.0223,99.42,1.0,0.994,0.982,84.34,0.954,0.788
