epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.188705113199022,0.6321,76.86,0.966,0.754,1.032,61.97,0.909,0.542
1,0.4282973189721398,0.4548,84.8,0.989,0.844,1.3501,59.6,0.941,0.547
2,0.23132959406115247,0.2251,92.59,0.996,0.924,0.6608,81.59,0.969,0.762
3,0.17923659417364332,0.1897,93.72,0.997,0.936,0.7478,77.49,0.962,0.709
4,0.12578618789498952,0.1732,94.24,0.997,0.941,0.458,84.24,0.979,0.79
5,0.10516627253063264,0.2051,93.26,0.997,0.933,2.1433,54.06,0.885,0.491
6,0.08703463231497127,0.4464,85.97,0.993,0.861,1.2117,66.67,0.944,0.603
7,0.07860092550355902,0.1897,93.95,0.998,0.939,2.1778,55.7,0.871,0.504
8,0.0705509653722193,0.2602,92.71,0.997,0.928,0.7557,79.87,0.981,0.731
9,0.06380711217480962,0.1152,96.17,0.999,0.962,1.716,66.77,0.909,0.6
10,0.05752191428882888,0.0678,97.72,0.999,0.977,1.3573,75.28,0.921,0.697
11,0.05503755351895714,0.0824,97.27,0.999,0.973,2.1947,63.23,0.879,0.544
12,0.05006448102040103,0.1217,96.16,0.999,0.961,1.3156,75.73,0.939,0.71
13,0.04828737555305377,0.1262,95.74,0.999,0.953,2.2267,59.96,0.916,0.527
14,0.04289944961627004,0.1498,95.54,0.999,0.954,2.1001,62.95,0.906,0.529
15,0.04097710941220537,0.0768,97.36,1.0,0.974,2.0457,66.59,0.882,0.61
16,0.04019920478865344,0.0631,98.05,1.0,0.98,1.8126,69.73,0.907,0.613
17,0.03511626813994674,0.1232,96.3,0.999,0.963,2.3481,65.71,0.886,0.573
18,0.03202942728922839,0.0482,98.37,1.0,0.983,2.4303,63.18,0.878,0.565
19,0.030688793027913698,0.0576,98.04,1.0,0.98,2.0309,62.72,0.877,0.562
20,0.028034462675278652,0.104,97.15,0.999,0.971,2.0347,72.15,0.922,0.624
21,0.027111963969805548,0.0488,98.46,1.0,0.984,1.1273,73.18,0.946,0.666
22,0.022783077553942745,0.0409,98.73,1.0,0.987,2.1942,71.28,0.882,0.613
23,0.02087210340418696,0.0475,98.65,1.0,0.986,1.9973,73.13,0.914,0.643
24,0.020145783584738505,0.0545,98.34,1.0,0.983,2.6781,64.21,0.869,0.558
25,0.01896696932627202,0.0455,98.46,1.0,0.984,1.917,67.38,0.902,0.602
26,0.01581782679237078,0.07,97.98,1.0,0.979,1.9856,70.38,0.926,0.63
27,0.015248651060486031,0.0439,98.7,1.0,0.987,2.1714,72.8,0.915,0.638
28,0.011266173577890814,0.0608,98.24,1.0,0.982,3.2391,63.44,0.86,0.542
29,0.009187376498842218,0.0404,98.85,1.0,0.988,2.6678,69.36,0.888,0.611
30,0.008417536826690785,0.0344,98.98,1.0,0.99,2.9843,66.59,0.873,0.581
31,0.007418271499655901,0.0321,99.07,1.0,0.99,2.3096,71.69,0.895,0.631
32,0.0059570764077954185,0.0402,98.84,1.0,0.988,2.1589,69.73,0.911,0.62
33,0.003992932491458445,0.0354,98.99,1.0,0.99,2.1633,73.07,0.911,0.644
34,0.003723507161222158,0.0289,99.2,1.0,0.992,2.6382,67.29,0.883,0.594
35,0.0025466479541313264,0.0297,99.21,1.0,0.992,3.053,68.55,0.869,0.595
36,0.0020141021321831423,0.0302,99.13,1.0,0.991,2.8577,67.38,0.868,0.584
37,0.001925742834485987,0.0274,99.21,1.0,0.992,2.3898,68.55,0.899,0.595
38,0.00154955630394293,0.029,99.16,1.0,0.991,2.4712,69.99,0.89,0.61
39,0.0012903507101252728,0.0262,99.27,1.0,0.993,2.5571,68.53,0.888,0.599
40,0.0010280394759763526,0.026,99.25,1.0,0.992,2.6324,68.72,0.885,0.601
41,0.0010170731359698867,0.0255,99.3,1.0,0.993,2.6156,69.23,0.883,0.607
42,0.0008274641765889087,0.0255,99.3,1.0,0.993,2.7173,67.78,0.881,0.594
43,0.0007784495206957008,0.0263,99.27,1.0,0.993,2.6855,67.95,0.884,0.594
44,0.0007690321720842819,0.0262,99.25,1.0,0.992,2.4638,69.06,0.893,0.606
45,0.0006620955159453722,0.0264,99.25,1.0,0.992,2.531,68.91,0.891,0.603
46,0.0007769694021071798,0.0271,99.26,1.0,0.992,2.5442,69.12,0.889,0.605
47,0.0008122542235452856,0.026,99.29,1.0,0.993,2.6446,68.31,0.884,0.598
48,0.000751569087693875,0.0257,99.27,1.0,0.993,2.6312,68.9,0.885,0.604
49,0.0007680707901556005,0.0265,99.25,1.0,0.992,2.5854,69.18,0.886,0.606
