epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.1664786687034006,0.7282,73.51,0.955,0.721,1.1229,67.78,0.9,0.627
1,0.39111347411054864,0.454,85.19,0.992,0.847,0.6651,82.93,0.966,0.761
2,0.22685578860689662,0.2802,90.71,0.995,0.904,0.4235,86.0,0.984,0.786
3,0.18472184710818806,0.2749,90.59,0.995,0.904,0.6108,84.29,0.972,0.754
4,0.12504174239853377,0.1933,93.44,0.997,0.933,0.4976,81.7,0.988,0.786
5,0.10148530922109081,0.1646,94.58,0.998,0.945,0.6108,80.22,0.985,0.772
6,0.08674490066599035,0.4428,89.05,0.995,0.891,0.7719,80.98,0.979,0.759
7,0.08144950187067404,0.1142,95.97,0.999,0.96,0.6809,81.53,0.978,0.787
8,0.06898655652278854,0.103,96.58,0.999,0.965,0.4822,86.09,0.988,0.831
9,0.06659479301729937,0.1103,96.47,0.999,0.965,0.4513,87.43,0.99,0.83
10,0.05882119741891661,0.5251,87.33,0.995,0.857,0.5669,84.61,0.986,0.8
11,0.056415115433034076,0.0741,97.69,0.999,0.977,0.2515,93.32,0.994,0.914
12,0.05450490930895438,0.1268,96.11,0.998,0.962,0.3018,91.27,0.992,0.879
13,0.046907051122583795,0.1253,96.14,0.999,0.961,0.3701,89.9,0.991,0.859
14,0.046212037965174646,0.2868,91.83,0.997,0.913,1.0989,73.24,0.959,0.705
15,0.04149872070932794,0.5426,85.29,0.996,0.863,2.1157,61.92,0.946,0.581
16,0.04038307000632568,0.1083,96.6,0.999,0.967,0.3818,89.64,0.987,0.867
17,0.03633149528181628,0.1992,93.88,0.998,0.938,0.6259,84.39,0.989,0.815
18,0.034807928979703924,0.092,97.02,0.999,0.97,0.7811,82.02,0.974,0.786
19,0.03158745876309799,0.0895,97.08,0.999,0.97,0.9764,74.31,0.974,0.728
20,0.0290040375337699,0.1419,95.91,0.999,0.958,1.0139,81.54,0.969,0.776
21,0.02653930546869407,0.0571,98.16,1.0,0.982,0.8092,78.45,0.974,0.767
22,0.024239020338649178,0.0463,98.61,1.0,0.986,0.4668,88.6,0.987,0.854
23,0.02371058259893703,0.0646,97.93,1.0,0.979,0.5056,87.7,0.986,0.845
24,0.020215929794629307,0.0865,97.29,1.0,0.973,0.4982,89.37,0.983,0.857
25,0.020352399507437342,0.0512,98.28,1.0,0.982,0.5027,85.87,0.989,0.835
26,0.017443426869689457,0.0634,98.36,1.0,0.983,0.7364,83.34,0.981,0.801
27,0.014697834368674986,0.0482,98.66,1.0,0.986,0.4203,88.22,0.99,0.85
28,0.01311531440959075,0.0764,97.86,1.0,0.978,0.4883,87.16,0.988,0.844
29,0.012089337736341474,0.0426,98.74,1.0,0.987,0.383,89.74,0.989,0.874
30,0.010208130338459565,0.0364,98.99,1.0,0.99,0.4287,88.33,0.989,0.844
31,0.00968006844248449,0.0404,98.79,1.0,0.988,0.5047,89.25,0.985,0.863
32,0.006898104072979061,0.0378,99.01,1.0,0.99,0.5428,88.05,0.988,0.845
33,0.005224079597995059,0.0371,98.98,1.0,0.99,0.5387,87.09,0.985,0.835
34,0.004639552130053441,0.0292,99.14,1.0,0.991,0.4722,89.11,0.989,0.863
35,0.002996305788209575,0.031,99.19,1.0,0.992,0.5979,87.04,0.985,0.83
36,0.0022305819125826,0.0312,99.19,1.0,0.992,0.5728,87.43,0.987,0.84
37,0.0019073103668041341,0.0288,99.28,1.0,0.993,0.6155,86.68,0.984,0.828
38,0.0015916274960643502,0.0299,99.19,1.0,0.992,0.6625,85.85,0.981,0.817
39,0.0011473640625942565,0.0274,99.28,1.0,0.993,0.6485,85.92,0.985,0.821
40,0.0011542858121963385,0.0276,99.25,1.0,0.992,0.6545,86.33,0.985,0.827
41,0.0009511184384612413,0.027,99.38,1.0,0.994,0.6288,86.36,0.986,0.828
42,0.0009268028811822014,0.0277,99.32,1.0,0.993,0.6853,85.35,0.984,0.815
43,0.0007797378335668836,0.0263,99.32,1.0,0.993,0.63,86.15,0.985,0.825
44,0.0008064528366410604,0.0269,99.33,1.0,0.993,0.6282,86.49,0.986,0.829
45,0.0006436037874403392,0.0263,99.37,1.0,0.994,0.6407,86.31,0.986,0.828
46,0.0007336458031048056,0.0268,99.34,1.0,0.993,0.6118,86.75,0.985,0.831
47,0.0006983726198608089,0.0265,99.33,1.0,0.993,0.6479,85.66,0.985,0.819
48,0.0007200981089745158,0.0265,99.35,1.0,0.993,0.6427,85.78,0.985,0.82
49,0.0006573442152724685,0.0268,99.34,1.0,0.993,0.6272,86.36,0.985,0.826
