epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.1674438802572134,0.7041,73.08,0.959,0.707,1.0428,64.49,0.876,0.576
1,0.4014083290185552,0.5102,83.54,0.987,0.833,0.8052,73.79,0.963,0.689
2,0.2159764687380483,0.1643,94.67,0.998,0.945,0.4571,84.51,0.981,0.823
3,0.16031461633661742,0.32,89.54,0.995,0.891,1.1013,72.66,0.956,0.637
4,0.11751179491907465,0.1435,95.21,0.998,0.951,0.3345,88.3,0.988,0.851
5,0.09687547288888458,0.1606,94.64,0.998,0.946,0.4148,86.28,0.984,0.842
6,0.08078509902307851,0.286,90.67,0.994,0.903,0.6169,80.11,0.983,0.776
7,0.07458835953052112,0.1393,95.7,0.999,0.956,0.6398,82.73,0.977,0.804
8,0.062931262330556,0.0982,96.99,0.999,0.969,0.9199,83.63,0.976,0.784
9,0.06045460999412562,0.0836,97.2,0.999,0.971,0.6117,84.23,0.98,0.8
10,0.05321484902960425,0.1121,96.63,0.999,0.966,0.6785,81.64,0.972,0.767
11,0.05218410473583954,0.1471,95.16,0.998,0.951,2.1806,60.2,0.878,0.567
12,0.04831658135832531,0.0753,97.64,0.999,0.976,0.3293,90.45,0.99,0.874
13,0.041922306094492205,0.0825,97.18,0.999,0.971,0.4568,88.03,0.986,0.84
14,0.04134143706357714,0.0767,97.7,0.999,0.976,1.1261,74.17,0.952,0.707
15,0.03900085590232337,0.0841,97.32,0.999,0.973,1.5137,75.07,0.945,0.681
16,0.03632914701369875,0.0711,97.91,0.999,0.979,1.2177,81.21,0.946,0.769
17,0.03179641544324843,0.0537,98.28,1.0,0.982,0.4258,88.17,0.984,0.844
18,0.031151145471320037,0.0677,97.9,1.0,0.978,1.1125,75.28,0.962,0.67
19,0.02845294545755111,0.1174,96.39,0.999,0.963,0.7354,81.32,0.978,0.756
20,0.027751669327738464,0.0674,98.04,1.0,0.98,0.3829,89.0,0.989,0.855
21,0.024307176419016387,0.0448,98.62,1.0,0.986,1.5834,76.21,0.935,0.67
22,0.021951870648958136,0.0682,97.84,1.0,0.977,0.4007,90.21,0.989,0.865
23,0.019105176459730845,0.0419,98.7,1.0,0.987,0.986,77.3,0.958,0.703
24,0.021135706673159286,0.0445,98.64,1.0,0.986,1.2558,75.24,0.955,0.674
25,0.018668151196880152,0.0753,97.76,1.0,0.977,0.6078,85.44,0.982,0.803
26,0.014727920876301853,0.0457,98.41,1.0,0.984,0.7189,80.99,0.98,0.794
27,0.013632780009393303,0.0475,98.63,1.0,0.986,0.8076,84.35,0.974,0.793
28,0.011633414274422072,0.0404,98.94,1.0,0.989,0.959,80.25,0.965,0.755
29,0.010764889946494478,0.0572,98.46,1.0,0.985,1.2601,81.47,0.96,0.746
30,0.008919226431277811,0.0431,98.8,1.0,0.988,1.1624,76.6,0.966,0.729
31,0.00900410896661194,0.0353,99.02,1.0,0.99,0.4414,89.44,0.988,0.865
32,0.007343029040896658,0.0322,99.0,1.0,0.99,1.0142,76.37,0.97,0.732
33,0.004894621651886718,0.0375,98.95,1.0,0.989,1.089,74.85,0.967,0.689
34,0.004344777930127356,0.0328,99.05,1.0,0.99,0.769,81.4,0.974,0.767
35,0.0034962066258954747,0.0314,99.13,1.0,0.991,1.1333,76.3,0.965,0.708
36,0.002306728904205625,0.0285,99.21,1.0,0.992,0.8285,81.88,0.975,0.778
37,0.00167691477617803,0.0287,99.14,1.0,0.991,0.7084,83.77,0.979,0.8
38,0.0013549116216466418,0.028,99.24,1.0,0.992,0.8506,81.1,0.974,0.771
39,0.001134175835611252,0.0262,99.22,1.0,0.992,0.9319,80.42,0.971,0.761
40,0.0009712240822266079,0.0259,99.25,1.0,0.992,1.0877,77.42,0.966,0.727
41,0.0010002594254243332,0.0254,99.27,1.0,0.992,0.8927,80.64,0.973,0.764
42,0.0008434488097586298,0.0251,99.27,1.0,0.992,0.9565,80.19,0.972,0.758
43,0.0007087901488320375,0.0258,99.27,1.0,0.992,0.944,79.74,0.971,0.754
44,0.0007139279233378535,0.0255,99.28,1.0,0.993,0.8789,81.05,0.972,0.766
45,0.0006345763158280149,0.0255,99.27,1.0,0.992,0.932,79.9,0.971,0.751
46,0.0007389672133924713,0.0257,99.27,1.0,0.992,1.0066,79.19,0.969,0.737
47,0.0007635096478606424,0.025,99.27,1.0,0.992,1.0495,78.8,0.968,0.734
48,0.0006610741655218772,0.0252,99.28,1.0,0.993,1.0229,79.0,0.969,0.737
49,0.000654243355062807,0.0255,99.26,1.0,0.992,1.0494,78.43,0.968,0.731
epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.1674438802572134,0.7041,73.08,0.959,0.707,1.0428,64.49,0.876,0.576
1,0.4014083290185552,0.5102,83.54,0.987,0.833,0.8052,73.79,0.963,0.689
2,0.2159764687380483,0.1643,94.67,0.998,0.945,0.4571,84.51,0.981,0.823
3,0.16031461633661742,0.32,89.54,0.995,0.891,1.1013,72.66,0.956,0.637
4,0.11751179491907465,0.1435,95.21,0.998,0.951,0.3345,88.3,0.988,0.851
5,0.09687547288888458,0.1606,94.64,0.998,0.946,0.4148,86.28,0.984,0.842
6,0.08078509902307851,0.286,90.67,0.994,0.903,0.6169,80.11,0.983,0.776
7,0.07458835953052112,0.1393,95.7,0.999,0.956,0.6398,82.73,0.977,0.804
8,0.062931262330556,0.0982,96.99,0.999,0.969,0.9199,83.63,0.976,0.784
9,0.06045460999412562,0.0836,97.2,0.999,0.971,0.6117,84.23,0.98,0.8
10,0.05321484902960425,0.1121,96.63,0.999,0.966,0.6785,81.64,0.972,0.767
11,0.05218410473583954,0.1471,95.16,0.998,0.951,2.1806,60.2,0.878,0.567
12,0.04831658135832531,0.0753,97.64,0.999,0.976,0.3293,90.45,0.99,0.874
13,0.041922306094492205,0.0825,97.18,0.999,0.971,0.4568,88.03,0.986,0.84
